Sum_uniform,Sum_exponential,Sum_cauchy
0.549323,1.18208,-47.9344
0.422115,0.718719,-2.77979
0.555964,1.23764,2.43859
0.494492,1.0076,2.36484
0.479229,0.86706,-6.97573
0.510679,0.97285,-1.24367
0.490414,0.967218,0.0301344
0.557589,1.11909,0.830037
0.547491,1.13997,1.90804
0.48501,0.973905,-9.61511
0.534923,1.09699,0.117371
0.503797,1.02104,-1.04014
0.51278,1.00031,-0.452519
0.481731,0.940419,-0.138596
0.555651,1.24922,2.86413
0.514478,0.970465,0.0140443
0.484501,0.993656,-12.6405
0.509257,1.02172,5.30802
0.462306,0.952183,1.88276
0.484008,0.93179,0.159414
0.486928,0.945021,-0.782506
0.484959,1.00044,0.8442
0.512356,1.04544,-0.926811
0.530694,1.12043,0.943817
0.512104,0.961045,-0.84017
0.53094,1.15018,2.25441
0.5162,0.976956,-0.95064
0.523487,1.05091,0.913951
0.505871,1.0436,-0.66693
0.482777,0.938708,-0.626667
0.47766,0.934426,-2.20429
0.548863,1.13876,0.792434
0.451411,0.870626,-0.714271
0.485628,0.910451,-0.230258
0.49416,0.972338,-0.110333
0.542239,1.13407,2.04633
0.494671,0.979932,-0.100281
0.502061,1.00567,1.06026
0.470992,0.929979,-1.42739
0.508311,0.931329,-1.05565
0.506052,0.979042,-1.61728
0.505988,0.949491,-15.5659
0.474018,0.944504,0.959774
0.49468,0.966735,-0.0330317
0.492725,0.997316,-0.161909
0.487078,1.01671,15.4555
0.495203,0.993943,0.573363
0.513143,1.07629,-0.523878
0.485962,0.943735,-23.465
0.510024,1.04525,0.10229
0.475333,0.925673,0.053263
0.523029,1.04651,-11.2889
0.467855,0.916444,-1.70708
0.483036,0.927941,-0.286281
0.488321,0.946745,-2.56563
0.530949,1.14666,1.22736
0.471785,0.887809,0.339283
0.479938,0.925957,0.422695
0.511448,1.06049,-0.603142
0.441333,0.843632,-8.49378
0.551037,1.1712,-0.720274
0.500251,0.969443,-5.56785
0.51593,0.978483,1.77573
0.52214,1.05583,-0.0718997
0.499915,0.976944,-0.317801
0.561616,1.32522,2.16921
0.492184,1.00906,0.94979
0.530104,1.1143,1.33924
0.581747,1.20448,0.526024
0.518958,1.05065,1.58868
0.504167,1.01133,0.0859705
0.519898,1.04857,2.35383
0.438149,0.821051,-4.96228
0.504743,1.00904,1.84023
0.537156,1.11511,1.13827
0.461589,0.799269,-1.23174
0.543925,1.08479,0.937345
0.534726,1.15312,1.05565
0.513359,1.09306,1.4202
0.56076,1.16412,-27.7607
0.531974,1.05116,0.491782
0.483539,0.903554,-2.00606
0.499713,1.05047,1.46261
0.455667,0.80994,-1.6786
0.502583,1.016,-0.0993698
0.494515,0.914266,-0.341447
0.462267,0.797672,-0.821773
0.485822,0.879547,0.567228
0.521479,1.05691,0.969364
0.428118,0.740543,-1.01601
0.461501,0.888478,-1.44862
0.476362,0.925094,-7.97096
0.501018,1.07958,1.90424
0.463345,0.877018,-7.67157
0.492972,0.890079,-0.082577
0.512576,0.989135,-0.928809
0.478882,0.919571,2.85163
0.476484,0.901835,-0.459547
0.507658,1.1516,0.572284
0.498991,1.01018,0.323206
0.438661,0.811493,-0.97041
0.511602,1.05839,-1.42997
0.466371,0.880526,-4.29175
0.467357,0.906067,1.86061
0.476696,0.920811,4.03342
0.507134,1.09154,2.38702
0.502624,1.05494,0.779336
0.497933,0.987648,-3.29017
0.509553,0.977537,0.113017
0.492955,0.97546,0.474867
0.52831,1.05492,1.46035
0.498432,0.987783,18.6574
0.486511,0.958132,-0.606447
0.4823,0.932993,-0.479335
0.516587,0.99801,0.144973
0.485017,0.967531,-0.00501954
0.541434,1.15873,1.01431
0.512915,1.03993,-7.75001
0.476332,0.995851,0.162534
0.5297,1.11347,2.05936
0.488401,0.965351,0.974367
0.491811,0.99744,0.347508
0.502543,1.01965,-0.948321
0.498546,1.09284,-0.454076
0.465471,0.936202,4.06622
0.468001,0.944603,-0.502024
0.487061,0.909773,0.0149683
0.545029,1.12842,0.746007
0.57096,1.23459,1.60996
0.48758,1.02214,0.372959
0.493993,0.97478,0.494321
0.53294,1.11149,-2.00635
0.476602,0.836591,-0.21075
0.505546,0.98337,-6.25716
0.494201,0.942417,1.09747
0.503206,1.02002,-0.779076
0.531964,1.084,1.48014
0.458715,0.864677,-0.993968
0.493249,0.949859,-0.721304
0.459001,0.91825,0.540458
0.514507,1.07249,139.562
0.504119,1.07348,0.986557
0.417163,0.785573,-0.0931933
0.553523,1.22957,5.18053
0.469648,0.903429,-1.30052
0.527258,1.03016,-0.225076
0.520386,1.07917,2.0871
0.494811,1.01355,1.11579
0.505208,1.03865,0.810082
0.514576,1.09884,-2.16759
0.52032,0.998435,-0.377772
0.55198,1.07463,0.180598
0.574622,1.17152,-0.803228
0.534546,1.09298,-2.06547
0.522798,1.12444,2.24261
0.557247,1.29375,2.76952
0.523286,1.09168,-0.118528
0.521732,1.07605,42.5829
0.502887,0.950006,-2.10529
0.498118,1.0119,1.71621
0.512404,1.05366,0.616025
0.508201,1.02768,0.585334
0.515391,1.07813,2.79452
0.494125,0.969383,0.363902
0.474732,0.939579,0.894975
0.506667,0.973126,1.39494
0.499418,1.02768,19.4544
0.502472,0.956069,0.637815
0.486574,0.982339,-27.2855
0.509738,1.09022,11.7094
0.511402,0.944123,-0.30777
0.546973,1.17113,0.828004
0.480415,0.939402,-0.272524
0.509642,1.01056,0.994867
0.48094,0.825679,-0.458298
0.494657,1.04996,0.982552
0.512565,1.08099,0.81004
0.502806,1.03619,2.0588
0.483835,0.931722,-0.136829
0.474417,0.956295,-0.68723
0.470183,0.916002,-3.08937
0.563659,1.18683,-7.37526
0.506702,0.967895,-0.238783
0.502069,1.0622,1.14698
0.492068,0.979001,-1.87231
0.462048,0.935018,-1.69857
0.557529,1.20327,0.774612
0.536207,1.11065,0.679198
0.527579,1.02903,0.459221
0.458625,0.836399,-0.380947
0.476554,0.927959,-15.4956
0.45922,0.831479,-2.90401
0.508068,1.00382,-4.27392
0.51259,1.03728,-1.72462
0.551847,1.08957,-0.191513
0.497855,0.956591,-1.03781
0.515194,0.995171,1.51851
0.526162,1.0957,0.0795818
0.483952,0.958566,0.221894
0.487691,0.92144,-5.49989
0.520502,1.10003,-0.915684
0.530153,1.05919,-0.260996
0.483992,0.933656,1.66507
0.465907,0.867787,-2.37166
0.490633,1.05332,17.9239
0.515023,0.963645,0.311089
0.509581,1.01964,1.17729
0.506716,1.05912,3.89047
0.502544,0.958814,-0.741474
0.501787,0.989621,-0.693456
0.552947,1.24488,-5.42399
0.503835,0.953199,0.374798
0.533116,0.972873,-0.0659441
0.497149,0.970399,15.3065
0.515614,1.13086,21.0924
0.524383,0.982698,-0.280761
0.477515,0.902405,0.398148
0.51724,0.983541,-0.151553
0.494043,0.949645,-0.0289877
0.498556,0.963743,-8.87809
0.500696,1.06136,6.24868
0.484339,0.92086,-1.74936
0.540586,1.18715,1.44094
0.479474,0.978162,1.0982
0.456413,0.920835,-7.86243
0.50094,1.10914,1.11697
0.484145,0.858937,-0.439146
0.437574,0.751266,-1.78158
0.47811,0.937846,-0.60576
0.535552,1.09612,-2.84068
0.514897,1.04226,1.00707
0.48391,0.938966,-0.175627
0.486079,0.887543,-0.589199
0.524606,1.05956,0.219067
0.45747,0.899557,0.140658
0.486752,0.967018,1.50279
0.455246,0.899687,0.442988
0.444831,0.779012,-1.02593
0.506941,1.01037,-0.744821
0.485842,0.94855,4.89074
0.547974,1.15153,2.30473
0.470492,0.916514,-17.9551
0.482028,0.872199,-0.283785
0.458702,0.894702,0.0414291
0.576243,1.23462,2.00055
0.509853,1.13638,1.26653
0.50986,1.15208,2.29427
0.47335,0.993081,-1.85602
0.517595,1.06396,0.423741
0.455244,0.852421,-0.626439
0.526687,1.04185,-0.75333
0.461807,0.924045,0.576608
0.519211,0.985208,0.138875
0.471105,0.898033,-0.37539
0.438919,0.941502,14.6577
0.458777,0.853905,-1.208
0.454503,0.917794,-4.87231
0.524387,1.01255,-0.52712
0.468861,0.864262,-2.20197
0.48986,0.924542,-19.2316
0.49658,0.958266,0.424004
0.50168,1.05879,1.90711
0.489513,0.95405,-0.144645
0.463686,0.946993,-3.77971
0.472986,0.853588,-0.638567
0.517442,1.09451,-0.239524
0.512829,1.1095,4.57921
0.502337,1.0525,0.361369
0.516067,1.10692,6.07353
0.517708,1.05416,-0.160442
0.475789,0.925355,-2.36964
0.534439,1.16698,0.978873
0.423344,0.739089,-1.60961
0.503657,1.03612,-0.653679
0.498674,1.00951,-0.161738
0.445289,0.871842,-0.0942918
0.492278,0.968128,-0.0697825
0.5494,1.22889,3.49158
0.509906,0.958449,-0.249935
0.518404,1.02521,-4.61768
0.513792,1.10134,0.6133
0.488375,1.01371,2.93108
0.441847,0.816274,-1.16494
0.482858,0.883814,-0.262957
0.518926,1.04445,0.044333
0.532725,1.10082,2.9403
0.461908,0.883579,-0.0318424
0.490786,0.936042,-0.370605
0.543004,1.12141,0.77371
0.450019,0.876792,-1.7518
0.523361,1.0429,0.821343
0.509427,0.997647,-4.21818
0.481681,0.952504,0.178345
0.491711,0.928345,-0.612804
0.480227,0.919302,-2.93558
0.532084,1.03513,0.46989
0.463261,0.957695,2.46584
0.537701,1.09644,5.67641
0.520602,1.03479,-0.394447
0.512379,1.0401,1.68104
0.481637,0.95912,-1.58137
0.471369,1.07824,6.51276
0.482814,0.890507,-1.31033
0.456168,0.764503,-0.471624
0.504247,0.952675,0.153821
0.509467,1.00685,-0.405641
0.508772,1.07512,1.77015
0.475501,0.879222,-1.23641
0.499413,1.03445,1.92188
0.49124,0.98806,-0.685585
0.488889,0.967858,-2.75062
0.508992,1.00669,1.40728
