I_1,err_1
0.99971,0
1.00014,0.000428271
1.00009,0.000252502
1.00024,0.000237515
1.00027,0.000185476
1.00015,0.00019461
1.00008,0.000176808
0.999968,0.000189724
0.999984,0.000168098
0.999976,0.000150575
1.00007,0.00016671
1.00006,0.000152918
1.0001,0.000146304
1.00013,0.00013891
1.00015,0.000130623
1.00012,0.000125966
1.00005,0.000133343
1.00007,0.000126748
1.00006,0.000120319
1.00009,0.000117548
1.00009,0.000111879
1.00009,0.000106689
1.00007,0.000103659
1.00003,0.000105996
1.00001,0.000105678
0.999992,0.000102459
0.999999,9.87876e-05
0.999968,9.9877e-05
0.999969,9.63753e-05
0.999958,9.37536e-05
0.999963,9.08232e-05
0.99996,8.80112e-05
0.999934,8.90853e-05
0.999925,8.6884e-05
0.999928,8.44305e-05
0.999923,8.22537e-05
0.999914,8.04906e-05
0.9999,7.95288e-05
0.999914,7.86976e-05
0.999907,7.70108e-05
0.999896,7.59463e-05
0.999877,7.65914e-05
0.99988,7.48845e-05
0.999872,7.3589e-05
0.99989,7.39499e-05
0.999905,7.40358e-05
0.999911,7.26789e-05
0.999925,7.24747e-05
0.999941,7.26358e-05
0.999941,7.11686e-05
0.999949,7.02785e-05
0.999933,7.08769e-05
0.999931,6.95481e-05
0.999937,6.8548e-05
0.999931,6.75664e-05
0.999938,6.66725e-05
0.999945,6.58513e-05
0.999949,6.48361e-05
0.999959,6.46067e-05
0.999958,6.35311e-05
0.999955,6.25637e-05
0.999951,6.17022e-05
0.999956,6.09121e-05
0.999973,6.24006e-05
0.999971,6.14692e-05
0.999962,6.10954e-05
0.999969,6.05025e-05
0.999966,5.96839e-05
0.999971,5.90178e-05
0.99997,5.81713e-05
0.999959,5.8384e-05
0.999962,5.76311e-05
0.999954,5.74376e-05
0.999951,5.67256e-05
0.999936,5.77564e-05
0.999941,5.71749e-05
0.999949,5.69616e-05
0.999955,5.652e-05
0.999954,5.58006e-05
0.999965,5.60935e-05
0.99996,5.55979e-05
0.999964,5.50924e-05
0.999974,5.51997e-05
0.999979,5.48065e-05
0.999972,5.45949e-05
0.999969,5.40706e-05
0.999957,5.47966e-05
0.999958,5.41969e-05
0.999971,5.50671e-05
0.999969,5.44812e-05
0.999969,5.38795e-05
0.999969,5.32916e-05
0.999978,5.34184e-05
0.999977,5.286e-05
0.999979,5.23795e-05
0.999981,5.18452e-05
0.999986,5.15792e-05
0.999984,5.10764e-05
0.999986,5.05854e-05
0.999984,5.01022e-05
