I_2,err_2
0.999995,0
1.00003,3.46821e-05
1.00002,2.45658e-05
1.00005,3.57959e-05
1,5.33474e-05
1.00002,4.61624e-05
1,4.24873e-05
1.00002,4.17056e-05
1.00002,3.70399e-05
1.00001,3.31921e-05
1,3.26709e-05
1.00001,3.02463e-05
1,2.80976e-05
1.00002,3.01851e-05
1,3.1315e-05
0.999995,3.03515e-05
0.999991,2.88362e-05
0.999993,2.72795e-05
1,2.66465e-05
1,2.54658e-05
0.999999,2.45039e-05
0.999993,2.40822e-05
0.999991,2.3069e-05
0.999988,2.23417e-05
0.999985,2.16932e-05
0.999993,2.24589e-05
0.999996,2.1823e-05
1,2.18764e-05
1,2.11348e-05
1.00001,2.17558e-05
1.00001,2.13001e-05
1.00002,2.22798e-05
1.00002,2.19946e-05
1.00002,2.14244e-05
1.00002,2.08303e-05
1.00003,2.11147e-05
1.00002,2.05747e-05
1.00003,2.11846e-05
1.00003,2.06417e-05
1.00003,2.02374e-05
1.00003,1.97534e-05
1.00003,1.95277e-05
1.00002,1.90878e-05
1.00003,1.86861e-05
1.00003,1.86078e-05
1.00003,1.82004e-05
1.00003,1.81734e-05
1.00003,1.78267e-05
1.00002,1.76244e-05
1.00002,1.72683e-05
1.00002,1.76288e-05
1.00002,1.75698e-05
1.00002,1.76098e-05
1.00002,1.73183e-05
1.00002,1.70032e-05
1.00002,1.67162e-05
1.00002,1.65114e-05
1.00002,1.63611e-05
1.00002,1.60932e-05
1.00002,1.58234e-05
1.00003,1.56958e-05
1.00003,1.5515e-05
1.00002,1.54568e-05
1.00002,1.52134e-05
1.00002,1.49969e-05
1.00002,1.47699e-05
1.00002,1.47003e-05
1.00002,1.44864e-05
1.00002,1.42993e-05
1.00002,1.44804e-05
1.00002,1.43771e-05
1.00002,1.42604e-05
1.00002,1.40703e-05
1.00002,1.39814e-05
1.00002,1.39294e-05
1.00002,1.38863e-05
1.00002,1.37095e-05
1.00002,1.35471e-05
1.00002,1.34399e-05
1.00002,1.33706e-05
1.00002,1.3235e-05
1.00002,1.31915e-05
1.00002,1.30344e-05
1.00002,1.28813e-05
1.00002,1.27293e-05
1.00002,1.25808e-05
1.00002,1.24452e-05
1.00002,1.23244e-05
1.00002,1.21942e-05
1.00002,1.2452e-05
1.00002,1.23359e-05
1.00002,1.24671e-05
1.00001,1.2403e-05
1.00001,1.22958e-05
1.00001,1.23055e-05
1.00001,1.2232e-05
1.00001,1.21299e-05
1.00001,1.21562e-05
1.00001,1.20534e-05
1.00001,1.22171e-05
