RW,err
1,0
1.41746,0.354083
1.73044,0.289144
1.99185,0.249795
2.22189,0.222946
2.4325,0.203144
2.64248,0.188766
2.83287,0.177033
3.00046,0.166694
3.17004,0.158497
3.3234,0.151069
3.47973,0.144977
3.6254,0.139414
3.75972,0.134266
3.89193,0.129719
4.02062,0.125643
4.14656,0.121967
4.26849,0.11858
4.39584,0.115675
4.50242,0.112561
4.61197,0.109808
4.71266,0.107104
4.81817,0.104733
4.92182,0.102536
5.02924,0.100571
5.12578,0.0985658
5.22267,0.0967025
5.30722,0.0947691
5.39276,0.092979
5.47845,0.0913147
5.56396,0.0897506
5.64901,0.0882726
5.72513,0.0867589
5.80665,0.0854084
5.89145,0.0841784
5.97588,0.0830133
6.05544,0.0818445
6.14808,0.0809066
6.23782,0.0799809
6.32448,0.0790626
6.39499,0.0779976
6.46107,0.0769293
6.54047,0.0760611
6.61611,0.0751923
6.70014,0.0744527
6.77131,0.0736091
6.84641,0.0728401
6.91752,0.0720638
6.98412,0.0712746
7.05851,0.0705919
7.12397,0.0698495
7.18936,0.0691357
7.25869,0.0684847
7.32714,0.067851
7.3907,0.0671942
7.45027,0.066527
7.513,0.0659114
7.57302,0.065293
7.62494,0.0646288
7.68091,0.0640185
7.75079,0.0635413
7.81479,0.0630318
7.88353,0.0625756
7.94842,0.0621039
8.00504,0.0615844
8.06501,0.0611068
8.13159,0.0606912
8.18873,0.0602198
8.2601,0.0598632
8.32383,0.0594624
8.39014,0.0590912
8.44563,0.0586558
8.49916,0.0582194
8.55809,0.0578317
8.61932,0.0574681
8.67182,0.0570584
8.73163,0.0567052
8.78883,0.0563445
8.84763,0.056003
8.90751,0.0556771
8.96355,0.0553355
9.02837,0.0550558
9.07797,0.0546922
9.13668,0.0543903
9.19387,0.0540861
9.24647,0.0537628
9.29664,0.0534339
9.36346,0.0532052
9.42276,0.0529403
9.46465,0.0525855
9.5266,0.0523473
9.58189,0.0520783
9.63275,0.0517918
9.68074,0.0514959
9.72822,0.051204
9.78149,0.0509475
9.82359,0.0506397
9.87534,0.0503868
9.92727,0.0501401
9.9692,0.0498482
