RW,err
1,0
1.41633,0.354083
1.73937,0.289895
2.01172,0.251464
2.25286,0.225286
2.45906,0.204922
2.64394,0.188853
2.83048,0.176905
3.00073,0.166707
3.16907,0.158453
3.32452,0.151114
3.47661,0.144859
3.61796,0.139152
3.75617,0.134149
3.88688,0.129563
4.01988,0.125621
4.15177,0.122111
4.27507,0.118752
4.39217,0.115584
4.50284,0.112571
4.61151,0.109798
4.71058,0.107059
4.80853,0.104533
4.91967,0.102493
5.01236,0.100247
5.11687,0.0984014
5.20369,0.0963646
5.30311,0.0946984
5.39329,0.0929878
5.49107,0.0915178
5.58158,0.0900254
5.66274,0.0884803
5.75606,0.087213
5.84404,0.0859418
5.92714,0.0846734
6.01388,0.0835262
6.09385,0.0823493
6.17872,0.081299
6.26404,0.0803082
6.34516,0.0793144
6.42758,0.0783851
6.50195,0.0774042
6.57369,0.0764383
6.65112,0.0755809
6.72692,0.0747435
6.80425,0.0739592
6.87225,0.073109
6.94642,0.0723586
7.02228,0.0716559
7.09216,0.0709216
7.15804,0.0701769
7.22837,0.0695036
7.29503,0.068821
7.36868,0.0682285
7.42628,0.0675116
7.49232,0.0668957
7.56353,0.0663468
7.62881,0.0657656
7.69897,0.0652455
7.75932,0.064661
7.82702,0.0641559
7.88585,0.0635955
7.94646,0.0630671
8.00474,0.062537
8.06556,0.0620427
8.13655,0.0616405
8.20011,0.0611948
8.26767,0.0607917
8.32999,0.0603623
8.38725,0.0599089
8.44747,0.0594892
8.50375,0.0590538
8.56238,0.0586465
8.63221,0.0583257
8.68617,0.0579078
8.75201,0.057579
8.80665,0.057186
8.8596,0.0567923
8.91428,0.0564195
8.97396,0.0560873
9.0279,0.0557278
9.09238,0.0554414
9.15573,0.055155
9.21085,0.0548265
9.25838,0.0544611
9.30894,0.0541218
9.37056,0.0538538
9.42089,0.0535278
9.47765,0.0532452
9.53057,0.0529476
9.58172,0.0526468
9.62927,0.052333
9.68113,0.0520491
9.72754,0.0517422
9.77839,0.0514652
9.8217,0.0511547
9.87264,0.0508899
9.92183,0.0506216
9.97305,0.050369
10.013,0.0500648
