err_C_one,err_P_one,err_C_discr,err_P_discr
0,0,0,0,0
0.540945,0.498096,0.225211,0.0208155,0.0208155
0.480769,0.344943,0.241771,0.114609,0.114609
0.369393,0.2844,0.29855,0.0823723,0.0823723
0.291344,0.220602,0.235641,0.0918318,0.0918318
0.25106,0.209568,0.260267,0.0849137,0.0849137
0.213257,0.190479,0.225063,0.0861594,0.0861594
0.184736,0.168783,0.195124,0.0844027,0.0844027
0.164758,0.14966,0.177656,0.0859837,0.0859837
0.160085,0.134277,0.207444,0.0888949,0.0888949
0.150434,0.121461,0.198905,0.0846706,0.0846706
0.146443,0.112136,0.186511,0.0785698,0.0785698
0.150703,0.107955,0.180226,0.0733404,0.0733404
0.144376,0.103117,0.168513,0.0679374,0.0679374
0.136892,0.0988587,0.156887,0.0642434,0.0642434
0.138393,0.0925299,0.165661,0.0601038,0.0601038
0.130752,0.0884665,0.196792,0.0657786,0.0657786
0.128314,0.083624,0.188179,0.064514,0.064514
0.123298,0.0807583,0.189295,0.0644924,0.0644924
0.117724,0.0778757,0.182347,0.0612893,0.0612893
0.112346,0.0741834,0.173559,0.0585442,0.0585442
0.115834,0.0712937,0.167093,0.0564308,0.0564308
0.119508,0.0708675,0.160418,0.053969,0.053969
0.115267,0.0702472,0.15465,0.0528216,0.0528216
0.110624,0.0703781,0.148432,0.0516226,0.0516226
0.108526,0.0677129,0.14975,0.0530859,0.0530859
0.104614,0.0682813,0.145038,0.0516092,0.0516092
0.102043,0.0658459,0.141769,0.051377,0.051377
0.0991311,0.0635403,0.141036,0.0521107,0.0521107
0.0962446,0.0613867,0.138471,0.050348,0.050348
0.0933041,0.059517,0.13404,0.0497053,0.0497053
0.0911183,0.0578448,0.131495,0.0486137,0.0486137
0.0883423,0.0561126,0.127761,0.0482851,0.0482851
0.09816,0.0547691,0.123999,0.0469989,0.0469989
0.0963885,0.0532302,0.120548,0.045788,0.045788
0.0937077,0.052147,0.118537,0.0445584,0.0445584
0.0911726,0.0508242,0.115304,0.0433717,0.0433717
0.090059,0.050102,0.113586,0.0436789,0.0436789
0.0879837,0.0488569,0.112084,0.0426467,0.0426467
0.0886299,0.0480964,0.109473,0.0418273,0.0418273
