C_one,P_one,C_discr,P_discr
15.6277,4.64898,14.8212,5.32794
15.0867,5.14707,15.0464,5.34875
14.7212,5.33756,15.2503,5.46273
14.5767,5.48381,15.0055,5.47748
14.6316,5.47219,15.0508,5.41144
14.7118,5.57932,15.226,5.45129
14.7332,5.50923,15.2737,5.40361
14.7289,5.47351,15.2828,5.44306
14.7044,5.45799,15.3269,5.40002
14.7669,5.44741,15.1936,5.44461
14.7261,5.4482,15.1276,5.41808
14.6753,5.46494,15.085,5.43219
14.7429,5.43309,15.0298,5.44465
14.78,5.40772,15.0062,5.44239
14.754,5.43134,15.0044,5.43112
14.8065,5.43456,15.0813,5.43219
14.7925,5.45105,15.2018,5.39844
14.7569,5.44503,15.2332,5.41622
14.7786,5.42875,15.1688,5.43708
14.7919,5.41479,15.1371,5.43347
14.8009,5.4188,15.1309,5.4281
14.845,5.40986,15.154,5.43639
14.8901,5.39033,15.1696,5.43865
14.9041,5.40853,15.1515,5.42769
14.9078,5.3882,15.1461,5.41779
14.9297,5.3918,15.1004,5.43671
14.9235,5.41222,15.0839,5.44407
14.9077,5.41475,15.1077,5.43117
14.9192,5.41558,15.142,5.44724
14.9096,5.41592,15.1174,5.44658
14.916,5.42005,15.1228,5.43661
14.9041,5.42507,15.144,5.42975
14.9063,5.42739,15.135,5.44031
14.9542,5.42137,15.1386,5.43648
14.9398,5.42365,15.1328,5.44021
14.9373,5.41708,15.1147,5.44253
14.9397,5.41379,15.1128,5.4408
14.9244,5.42173,15.0953,5.45202
14.9176,5.41939,15.0773,5.45497
14.8952,5.42614,15.0703,5.45963
14.8979,5.43464,15.0634,5.45884
14.8927,5.43922,15.052,5.45506
14.8868,5.43679,15.0302,5.45426
14.8858,5.44715,15.0193,5.4561
14.8798,5.45008,15.0155,5.46503
14.862,5.45561,15.0194,5.46097
14.8592,5.45028,15.0182,5.46006
14.8669,5.44298,15.0179,5.46003
14.8837,5.44309,15.034,5.45573
14.8831,5.44506,15.0362,5.45503
14.8935,5.44205,15.0483,5.45145
14.8784,5.44608,15.0467,5.44976
14.8578,5.45644,15.0156,5.45512
14.8506,5.4599,15.0219,5.44924
14.8308,5.46471,15.0155,5.45474
14.8547,5.45701,15.0349,5.44945
14.8485,5.45172,15.0178,5.45386
14.8447,5.45818,15.0293,5.45393
14.8384,5.45621,15.0105,5.4593
14.8352,5.44868,15.0006,5.45587
14.8464,5.45324,14.9843,5.44955
14.8565,5.44569,14.9882,5.44904
14.8551,5.45091,14.996,5.45496
14.8588,5.45183,14.9936,5.4537
14.8562,5.45517,14.995,5.45199
14.8376,5.46091,14.9991,5.45128
14.8458,5.46206,14.9786,5.46244
14.8446,5.46205,14.9894,5.45843
14.8502,5.46702,14.991,5.45539
14.8512,5.46213,14.9866,5.44409
14.8596,5.4591,14.9816,5.44396
14.8547,5.46353,14.9964,5.44437
14.8556,5.4638,14.9968,5.44385
14.8563,5.46782,14.9895,5.45089
14.8532,5.46494,14.9883,5.4515
14.8521,5.47049,15.0074,5.44745
14.8578,5.46906,15.012,5.44926
14.8596,5.46983,15.0133,5.44933
14.853,5.47305,14.9948,5.4514
14.8628,5.46888,14.9951,5.4567
14.8665,5.4686,14.9957,5.45888
14.8547,5.46748,14.9841,5.45631
14.8563,5.46571,14.9871,5.45352
14.8595,5.46675,14.9871,5.45131
14.877,5.464,14.982,5.44561
14.8764,5.4599,14.9836,5.44301
14.8764,5.45763,14.9854,5.44295
14.8685,5.4615,14.9905,5.44406
14.8697,5.45869,14.9918,5.447
14.8716,5.45631,14.9853,5.45445
14.8739,5.45592,14.966,5.4622
14.8703,5.45643,14.9751,5.45938
14.866,5.45813,14.976,5.46167
14.8686,5.46052,14.987,5.46108
14.871,5.46287,14.9869,5.4586
14.8691,5.46461,14.9755,5.4631
14.8714,5.46139,14.977,5.45684
14.8667,5.46215,14.9657,5.45908
14.8652,5.45849,14.9726,5.45628
14.8548,5.45748,14.9595,5.46446
