sum,mean,err
1.43732,1.43732,0
1.69864,1.56798,0.130663
1.47936,1.53844,0.0810149
1.62599,1.56033,0.0613253
1.64535,1.57733,0.0504542
1.50053,1.56453,0.0431388
1.36128,1.5355,0.0466089
1.31511,1.50795,0.0488692
1.48723,1.50565,0.04316
1.50465,1.50555,0.0386036
1.27976,1.48502,0.0405042
1.603,1.49485,0.0382599
1.47766,1.49353,0.0352189
1.51524,1.49508,0.0326432
1.37606,1.48715,0.0314079
1.52432,1.48947,0.0294711
1.36736,1.48229,0.0286
1.3628,1.47565,0.0277694
1.63299,1.48393,0.0275417
1.33432,1.47645,0.0271781
1.72739,1.4884,0.0284796
1.46431,1.4873,0.0271763
1.56211,1.49056,0.0261708
1.7063,1.49954,0.0266204
1.28786,1.49108,0.0269007
1.39635,1.48743,0.0261009
1.51228,1.48835,0.0251325
1.50048,1.48879,0.0242222
1.34639,1.48388,0.0238822
1.39569,1.48094,0.0232589
1.68661,1.48757,0.023454
1.41206,1.48521,0.0228315
1.46546,1.48461,0.0221369
1.54702,1.48645,0.0215543
1.45975,1.48569,0.0209433
1.34286,1.48172,0.0207363
1.4968,1.48213,0.0201722
1.55924,1.48416,0.0197388
1.57552,1.4865,0.0193682
1.39655,1.48425,0.0190112
1.67094,1.4888,0.0190926
1.43636,1.48755,0.0186743
1.48654,1.48753,0.0182349
1.53951,1.48871,0.0178547
1.50555,1.48909,0.0174575
1.58736,1.49122,0.0172069
1.33524,1.4879,0.0171607
1.25821,1.48312,0.0174677
1.4406,1.48225,0.0171295
1.23298,1.47727,0.0175082
1.35854,1.47494,0.0173186
1.51781,1.47576,0.0170023
1.50534,1.47632,0.0166878
1.5444,1.47758,0.0164243
1.67404,1.48115,0.0165139
1.61689,1.48358,0.0163964
1.46528,1.48326,0.0161094
1.57705,1.48487,0.0159116
1.40835,1.48358,0.0156933
1.47587,1.48345,0.0154301
1.50372,1.48378,0.0151786
1.47744,1.48368,0.0149322
1.73861,1.48772,0.0152403
1.57777,1.48913,0.0150661
1.36832,1.48727,0.0149485
1.50416,1.48753,0.0147224
1.50233,1.48775,0.0145027
1.41793,1.48672,0.0143247
1.41388,1.48567,0.014155
1.38879,1.48428,0.0140198
1.66966,1.48689,0.0140654
1.33023,1.48472,0.0140383
1.52741,1.4853,0.013857
1.48441,1.48529,0.0136685
1.76129,1.48897,0.0139781
1.38106,1.48755,0.0138659
1.25451,1.48452,0.0140153
1.47691,1.48443,0.0138348
1.34214,1.48263,0.0137768
1.5262,1.48317,0.0136144
1.57613,1.48432,0.0134941
1.4673,1.48411,0.0133302
1.64918,1.4861,0.0133179
1.40993,1.48519,0.0131896
1.28694,1.48286,0.0132406
1.47115,1.48272,0.0130864
1.38985,1.48166,0.0129791
1.46273,1.48144,0.0128326
1.47693,1.48139,0.0126877
1.56422,1.48231,0.0125796
1.57294,1.48331,0.0124804
1.42719,1.4827,0.0123591
1.49883,1.48287,0.0122267
1.51903,1.48325,0.012102
1.39473,1.48232,0.0120102
1.36699,1.48112,0.011945
1.49276,1.48124,0.0118218
1.77031,1.48419,0.0120666
1.60103,1.48537,0.0120023
1.63422,1.48686,0.0119745
