sum,mean,err
1.51722,1.51722,0
1.34029,1.42876,0.0884664
1.50104,1.45285,0.0564734
1.56433,1.48072,0.0486972
1.49074,1.48272,0.0377739
1.50014,1.48563,0.0309785
1.69503,1.51554,0.0397542
1.51754,1.51579,0.0344291
1.62924,1.5284,0.0328763
1.67026,1.54258,0.0326484
1.42501,1.5319,0.0314065
1.4708,1.5268,0.0291185
1.44747,1.5207,0.0274716
1.52489,1.521,0.0254355
1.3496,1.50957,0.026292
1.41705,1.50379,0.0252646
1.45012,1.50063,0.023941
1.41261,1.49574,0.0230955
1.39109,1.49024,0.0225299
1.38489,1.48497,0.0220131
1.32066,1.47714,0.0223527
1.50408,1.47837,0.0213476
1.43611,1.47653,0.0204809
1.58685,1.48113,0.0201406
1.74175,1.49155,0.0219516
1.58813,1.49527,0.021415
1.41925,1.49245,0.0207981
1.65356,1.49821,0.0208511
1.52207,1.49903,0.0201361
1.77762,1.50832,0.0215562
1.27219,1.5007,0.0221971
1.41789,1.49811,0.0216474
1.62488,1.50195,0.02133
1.3509,1.49751,0.0211647
1.62567,1.50117,0.0208747
1.47678,1.50049,0.0202979
1.45444,1.49925,0.0197809
1.33756,1.49499,0.0197179
1.38449,1.49216,0.0194135
1.57987,1.49435,0.0190486
1.36804,1.49127,0.0188319
1.67118,1.49556,0.0188706
1.31825,1.49143,0.0188823
1.54075,1.49255,0.0184822
1.39854,1.49046,0.0181872
1.52823,1.49129,0.0178063
1.32149,1.48767,0.0177939
1.36412,1.4851,0.0176084
1.44572,1.4843,0.017264
1.62879,1.48719,0.0171603
1.69423,1.49124,0.0173035
1.63877,1.49408,0.017203
1.63781,1.49679,0.0170918
1.52155,1.49725,0.0167786
1.78491,1.50248,0.0172811
1.72875,1.50652,0.0174441
1.53388,1.507,0.017142
1.4571,1.50614,0.0168659
1.43964,1.50502,0.0166158
1.32829,1.50207,0.0165999
1.37868,1.50005,0.0164504
1.52073,1.50038,0.0161863
1.39374,1.49869,0.016017
1.44897,1.49791,0.0157839
1.4964,1.49789,0.0155392
1.49532,1.49785,0.015302
1.52358,1.49823,0.0150767
1.54947,1.49899,0.0148725
1.49297,1.4989,0.0146556
1.47314,1.49853,0.0144494
1.48749,1.49838,0.0142453
1.59548,1.49972,0.0141106
1.38868,1.4982,0.0139989
1.33349,1.49598,0.0139867
1.84131,1.50058,0.0145468
1.22164,1.49691,0.014816
1.54261,1.49751,0.0146343
1.33583,1.49543,0.0145935
1.36004,1.49372,0.0145091
1.55411,1.49447,0.0143465
1.40204,1.49333,0.0142141
1.3971,1.49216,0.0140887
1.57713,1.49318,0.0139555
1.35678,1.49156,0.0138837
1.70338,1.49405,0.0139438
1.41353,1.49311,0.0138125
1.57598,1.49407,0.013686
1.30865,1.49196,0.0136927
1.43637,1.49134,0.0135524
1.40509,1.49038,0.0134351
1.35278,1.48886,0.0133724
1.23981,1.48616,0.0135005
1.6926,1.48838,0.0135378
1.36408,1.48706,0.0134581
1.62932,1.48855,0.0133996
1.32379,1.48684,0.0133699
1.40285,1.48597,0.0132597
1.47406,1.48585,0.0131242
1.65461,1.48755,0.0131023
1.44264,1.4871,0.0129784
