sum,mean,err
5.00709,5.00709,0
4.92545,4.96627,0.040823
4.68294,4.87183,0.0973378
5.28524,4.97518,0.124173
4.39316,4.85878,0.151001
4.57431,4.81136,0.132093
4.58905,4.7796,0.116069
5.30205,4.84491,0.11987
5.47199,4.91459,0.126611
4.78714,4.90184,0.113959
4.92093,4.90358,0.103095
4.78029,4.8933,0.0946714
4.48814,4.86214,0.0924939
4.77527,4.85593,0.0858572
5.13389,4.87446,0.0820487
5.34861,4.9041,0.082272
4.77791,4.89667,0.0776368
5.57202,4.93419,0.0822523
4.93667,4.93432,0.077803
4.18582,4.8969,0.0827563
4.43824,4.87506,0.0816908
5.63438,4.90957,0.0851937
4.83358,4.90627,0.0814724
5.5452,4.93289,0.0824218
4.66557,4.9222,0.0797761
4.56881,4.90861,0.0778422
4.95543,4.91034,0.0749238
4.64478,4.90086,0.0728186
5.18519,4.91066,0.0709436
4.91165,4.91069,0.068538
5.11603,4.91732,0.0666204
5.13059,4.92398,0.0648483
5.53873,4.94261,0.065555
4.61424,4.93295,0.0643269
4.99043,4.93459,0.0624835
4.99726,4.93634,0.060748
5.21952,4.94399,0.059577
4.82205,4.94078,0.0580767
5.30237,4.95005,0.0573228
5.28683,4.95847,0.0565021
5.4818,4.97124,0.0565657
5.33996,4.98001,0.0558963
4.90189,4.9782,0.0546111
5.06612,4.9802,0.0533929
5.34742,4.98836,0.052827
4.7491,4.98315,0.051927
5.02036,4.98395,0.0508163
4.80092,4.98013,0.0498923
5.09221,4.98242,0.048917
4.79316,4.97864,0.0480779
5.38865,4.98668,0.0478066
4.66535,4.9805,0.0472838
4.95965,4.9801,0.0463847
4.90542,4.97872,0.0455386
5.04237,4.97988,0.044718
5.33168,4.98616,0.0443593
4.67076,4.98063,0.043924
5.36905,4.98732,0.0436766
5.2988,4.9926,0.0432533
4.5048,4.98447,0.0432965
4.9838,4.98446,0.0425808
5.05142,4.98554,0.0419023
4.90782,4.98431,0.0412502
5.15563,4.98698,0.0406887
4.69526,4.9825,0.0403085
5.30069,4.98732,0.0399848
5.20035,4.9905,0.0395116
4.6873,4.98604,0.0391808
4.85585,4.98415,0.0386548
4.62632,4.97904,0.0384401
4.59971,4.9737,0.0382696
5.0621,4.97492,0.0377543
5.12453,4.97697,0.0372898
4.74722,4.97387,0.0369133
5.48059,4.98062,0.0370392
4.80261,4.97828,0.0366236
4.6411,4.9739,0.0364091
5.19218,4.9767,0.0360481
5.11235,4.97842,0.0356302
4.84899,4.9768,0.0352192
5.44349,4.98256,0.0352557
5.1851,4.98503,0.0349106
5.15391,4.98707,0.0345474
5.12471,4.98871,0.0341729
4.61275,4.98428,0.0340569
5.74873,4.99317,0.0348125
5.59699,5.00011,0.035103
5.39048,5.00455,0.0349842
4.96752,5.00413,0.0345914
4.71798,5.00095,0.0343523
4.87076,4.99952,0.0340029
5.06524,5.00024,0.0336388
5.38513,5.00438,0.0335315
5.2615,5.00711,0.0332855
5.24475,5.00961,0.0330281
4.58025,5.00514,0.0329869
4.80364,5.00306,0.032711
5.09644,5.00402,0.0323895
4.67607,5.0007,0.0322314
4.95719,5.00027,0.0319104
