sum,mean,err
5.03813,5.03813,0
5.05744,5.04778,0.00965902
5.03548,5.04368,0.00692329
4.81344,4.98612,0.0577683
4.75624,4.94014,0.0641575
4.85812,4.92647,0.0541386
4.90872,4.92394,0.0458257
4.97398,4.93019,0.0401761
5.68551,5.01412,0.091097
5.59057,5.07176,0.0998092
5.3816,5.09993,0.0945727
4.88572,5.08208,0.0881589
5.05468,5.07997,0.0811218
4.73571,5.05538,0.0790271
4.61877,5.02627,0.0791191
4.87309,5.0167,0.0746258
5.09561,5.02134,0.0702523
4.75461,5.00652,0.0678719
4.65321,4.98793,0.0668393
4.97526,4.98729,0.0634125
5.27578,5.00103,0.0618618
5.04712,5.00313,0.0590201
5.25393,5.01403,0.0574402
5.06185,5.01602,0.0550309
5.44717,5.03327,0.0555298
4.90479,5.02833,0.0535797
4.9227,5.02441,0.0517053
5.07233,5.02613,0.0498538
4.27526,5.00023,0.0546295
4.7469,4.99179,0.0534484
4.20904,4.96654,0.0575325
4.92131,4.96513,0.0557235
4.95707,4.96488,0.0540091
4.82353,4.96072,0.0525612
5.15426,4.96625,0.051336
5.2271,4.9735,0.0504131
4.78646,4.96844,0.0492915
4.84467,4.96519,0.0480873
5.07068,4.96789,0.0469161
5.51369,4.98154,0.0477206
4.6592,4.97368,0.0472014
5.34828,4.98259,0.0469194
4.94813,4.98179,0.0458223
4.99441,4.98208,0.0447697
5.18246,4.98653,0.0439895
5.45236,4.99666,0.0441983
5.32687,5.00368,0.0438146
5.23661,5.00854,0.0431657
4.96008,5.00755,0.0422872
5.54577,5.01831,0.0428083
4.869,5.01539,0.0420626
5.45168,5.02378,0.0420905
5.2159,5.0274,0.0414475
5.12525,5.02921,0.0407131
5.58314,5.03928,0.0412154
4.8451,5.03582,0.040621
5.0117,5.03539,0.0399043
5.14193,5.03723,0.0392532
5.15337,5.0392,0.0386324
4.1653,5.02463,0.0406799
4.85171,5.0218,0.0401077
4.95195,5.02067,0.0394716
5.89695,5.03458,0.0412554
5.6742,5.04458,0.0418175
5.37465,5.04965,0.0414812
5.25661,5.05279,0.040968
5.22732,5.05539,0.0404359
5.43143,5.06092,0.0402188
5.19444,5.06286,0.0396788
4.77895,5.0588,0.0393176
4.71782,5.054,0.0390563
4.56354,5.04719,0.0391079
4.93243,5.04562,0.0386005
4.96355,5.04451,0.0380914
4.85406,5.04197,0.0376658
5.26887,5.04495,0.0372866
4.49162,5.03777,0.0374942
5.21729,5.04007,0.0370819
5.22372,5.04239,0.0366833
4.85567,5.04006,0.0362969
4.94269,5.03886,0.0358662
5.12916,5.03996,0.0354432
5.49812,5.04548,0.035446
5.15909,5.04683,0.0350476
4.62923,5.04192,0.0349796
4.77653,5.03883,0.0347079
5.57225,5.04496,0.0348502
5.49151,5.05004,0.0348236
4.94324,5.04884,0.034451
5.28621,5.05148,0.034168
4.66842,5.04727,0.0340516
4.75423,5.04408,0.0338297
5.09997,5.04468,0.0334694
5.03507,5.04458,0.0331116
5.35695,5.04787,0.0329258
4.83231,5.04562,0.0326583
4.5631,5.04065,0.0327004
4.56852,5.03583,0.0327216
5.21279,5.03762,0.0324387
4.737,5.03461,0.0322531
