sum,mean,err
1,1,0
1,1,4.998e-07
1,1,3.332e-07
1,1,2.49789e-07
1,1,1.99781e-07
1,1,1.66333e-07
1,1,1.42668e-07
1,1,1.25053e-07
1,1,1.11261e-07
1,1,1.0033e-07
1,1,9.11289e-08
1,1,8.36929e-08
1,1,7.73091e-08
1,1,7.18211e-08
1,1,6.72324e-08
1,1,6.29857e-08
1,1,5.92544e-08
1,1,5.59888e-08
1,1,5.31498e-08
1,1,5.03585e-08
1,1,4.82853e-08
1,1,4.61008e-08
1,1,4.40209e-08
1,1,4.23753e-08
1,1,4.0467e-08
1,1,3.91988e-08
1,1,3.77652e-08
1,1,3.63874e-08
1,1,3.52851e-08
1,1,3.41148e-08
1,1,3.28727e-08
1,1,3.18921e-08
1,1,3.09446e-08
1,1,3.01391e-08
1,1,2.93608e-08
1,1,2.84965e-08
1,1,2.78775e-08
1,1,2.70582e-08
1,1,2.63695e-08
1,1,2.5699e-08
1,1,2.50455e-08
1,1,2.44076e-08
1,1,2.40054e-08
1,1,2.35059e-08
1,1,2.29092e-08
1,1,2.25441e-08
1,1,2.20801e-08
1,1,2.15171e-08
1,1,2.11829e-08
1,1,2.07484e-08
1,1,2.03225e-08
1,1,2.00138e-08
1,1,1.96038e-08
1,1,1.9201e-08
1,1,1.90224e-08
1,1,1.86332e-08
1,1,1.82501e-08
1,1,1.79813e-08
1,1,1.77179e-08
1,1,1.73516e-08
1,1,1.70985e-08
1,1,1.69578e-08
1,1,1.67137e-08
1,1,1.62585e-08
1,1,1.58051e-08
1,1,1.55737e-08
1,1,1.51253e-08
1,1,1.47895e-08
1,1,1.43429e-08
1,1,1.41251e-08
1,1,1.37958e-08
1,1,1.34681e-08
1,1,1.30237e-08
1,1,1.26969e-08
1,1,1.24913e-08
1,1,1.21667e-08
1,1,1.1965e-08
1,1,1.15174e-08
1,1,1.11918e-08
1,1,1.09936e-08
1,1,1.06676e-08
1,1,1.04715e-08
1,1,1.01439e-08
1,1,9.81369e-09
1,1,9.61866e-09
1,1,9.28469e-09
1,1,8.94647e-09
1,1,8.75026e-09
1,1,8.7004e-09
1,1,8.35803e-09
1,1,8.31147e-09
1,1,7.81033e-09
1,1,7.76777e-09
1,1,7.41042e-09
1,1,7.37089e-09
1,1,7.17083e-09
1,1,6.96938e-09
1,1,6.41905e-09
1,1,6.20628e-09
1,1,5.99049e-09
sum,mean,err
375.008,375.008,0
375.008,375.008,0.000187426
375.008,375.008,0.000125015
375.008,375.008,9.37516e-05
375.008,375.008,7.49954e-05
375.008,375.008,6.25424e-05
375.008,375.008,5.36323e-05
375.008,375.008,4.6898e-05
375.008,375.008,4.17444e-05
375.008,375.008,3.75489e-05
375.008,375.008,3.4077e-05
375.008,375.008,3.12458e-05
375.008,375.008,2.88003e-05
375.008,375.008,2.67657e-05
375.008,375.008,2.50146e-05
375.008,375.008,2.34741e-05
375.008,375.008,2.21203e-05
375.008,375.008,2.09349e-05
375.008,375.008,1.98217e-05
375.008,375.008,1.88107e-05
375.008,375.008,1.79737e-05
375.008,375.008,1.71409e-05
375.008,375.008,1.64278e-05
375.008,375.008,1.57886e-05
375.008,375.008,1.51391e-05
375.008,375.008,1.4556e-05
375.008,375.008,1.4036e-05
