sum,mean,err
1,1,0
1.41414,1.20707,0.207069
1.76114,1.39176,0.220008
1.76114,1.48411,0.180913
2.60467,1.70822,0.264319
2.60467,1.85763,0.262487
1.92562,1.86734,0.222054
1.92562,1.87463,0.192442
1.92562,1.88029,0.169813
2.4613,1.93839,0.162619
2.89774,2.02561,0.171005
2.89774,2.09828,0.172195
2.89774,2.15978,0.169915
2.89774,2.21249,0.165907
2.66098,2.24239,0.157318
2.78217,2.27613,0.150975
2.78217,2.30589,0.144907
1.88693,2.28262,0.138588
1.88693,2.26179,0.132735
2.16914,2.25716,0.126009
2.04713,2.24716,0.120275
2.04713,2.23807,0.115037
1.78137,2.21821,0.111701
1.74875,2.19865,0.10872
1.74875,2.18065,0.105822
1.74875,2.16404,0.103019
1.74875,2.14866,0.100316
1.74875,2.13438,0.0977162
1.74875,2.12108,0.0952196
1.92075,2.1144,0.0922329
2.63565,2.13122,0.0907789
3.2551,2.16634,0.0946534
3.56041,2.20858,0.100999
4.01413,2.26169,0.111449
4.01413,2.31176,0.11924
4.01413,2.35904,0.125157
3.85094,2.39937,0.128232
3.18348,2.42,0.126506
3.14606,2.43862,0.124618
3.53932,2.46614,0.124541
3.53932,2.49231,0.124254
3.53932,2.51724,0.123795
3.31106,2.5357,0.122283
2.85398,2.54293,0.119691
3.07132,2.55468,0.117588
3.07132,2.56591,0.115551
3.78676,2.59188,0.116011
3.5808,2.61249,0.115422
3.5506,2.63163,0.114652
3.5506,2.65001,0.113829
3.51142,2.6669,0.112846
3.06349,2.67453,0.110917
2.25365,2.66659,0.109093
2.25365,2.65894,0.107327
2.25365,2.65157,0.105615
2.40533,2.64717,0.103805
2.40533,2.64293,0.102056
2.32621,2.63747,0.100429
2.44662,2.63423,0.0987654
2.59569,2.63359,0.0971075
2.59569,2.63297,0.0955043
3.08448,2.64025,0.0942331
3.05765,2.64688,0.0929617
3.05765,2.6533,0.0917225
2.97976,2.65832,0.0904399
2.97976,2.66319,0.0891921
3.57166,2.67675,0.088891
4.08334,2.69743,0.0899838
5.32365,2.73549,0.0964937
5.32365,2.77247,0.102039
5.32365,2.8084,0.106817
5.25113,2.84233,0.110652
5.25113,2.87532,0.114006
4.58421,2.89842,0.114801
4.58421,2.92089,0.115469
4.58421,2.94278,0.116023
3.8612,2.95471,0.115125
3.41728,2.96064,0.113794
2.61985,2.95632,0.112428
2.18006,2.94662,0.111437
2.18006,2.93716,0.110458
2.1057,2.92702,0.109573
1.08875,2.90487,0.110488
1.60706,2.88942,0.110252
1.60706,2.87433,0.109987
1.60706,2.8596,0.109695
1.95215,2.84917,0.108927
1.95215,2.83897,0.108164
2.50185,2.83519,0.107008
2.50185,2.83148,0.105878
1.99792,2.82232,0.105108
1.21074,2.80481,0.105424
1.21074,2.78766,0.105684
1.21074,2.77089,0.105891
0.460347,2.74657,0.107556
0.460347,2.72275,0.109062
0.460347,2.69943,0.110423
0.460347,2.67658,0.111653
0.460347,2.65419,0.112764
0.460347,2.63226,0.113766
0.460347,2.61075,0.114668
0.600229,2.59104,0.115237
0.600229,2.57171,0.115738
0.600229,2.55276,0.116177
0.600229,2.53416,0.116558
0.600229,2.51592,0.116886
0.527664,2.49733,0.11727
0.975418,2.48324,0.11703
0.975418,2.46941,0.116774
0.975418,2.45583,0.116502
0.975418,2.44249,0.116215
0.975418,2.42939,0.115915
0.975418,2.41652,0.115603
0.975418,2.40388,0.11528
0.975418,2.39146,0.114946
0.975418,2.37925,0.114603
0.975418,2.36726,0.114251
1.4981,2.35989,0.113518
1.4981,2.35265,0.112793
1.08366,2.34207,0.112348
1.08366,2.33167,0.1119
1.08366,2.32144,0.111449
1.08366,2.31138,0.110996
1.64774,2.30603,0.110228
1.64774,2.30076,0.109469
1.06714,2.29097,0.109037
2.32819,2.29126,0.108176
1.73607,2.28693,0.107415
1.73607,2.28266,0.106664
1.59957,2.2774,0.105971
1.59957,2.27223,0.105286
1.59957,2.26713,0.10461
