x,y,z
19.21,-0.115104,1.41732
18.3807,0.821976,1.43952
16.971,1.01731,0.991927
15.3327,1.09561,0.727346
15.1194,2.67956,0.62476
13.2042,1.64606,1.94906
12.6794,1.50049,2.85516
11.945,1.57213,2.81215
11.3449,0.76685,2.99277
10.827,0.833154,4.03063
10.2715,1.79386,3.39373
10.009,1.47654,3.50688
9.32836,0.444757,2.8025
8.82909,1.50607,2.26925
8.37914,2.27122,1.30786
8.21544,2.63819,0.758697
8.09162,2.00893,1.21989
7.92899,1.32744,0.839475
7.66371,1.0469,0.823059
8.68727,1.00411,-0.134949
8.48069,0.706193,-0.461701
7.65776,1.71466,-0.718813
6.41998,1.93982,-0.678591
6.41184,2.08085,0.533443
6.22058,2.61349,0.551953
5.90888,2.4758,-0.267635
4.86809,2.72397,0.629035
4.52732,3.47153,-0.215689
3.61036,3.52381,-0.787174
3.47451,3.5593,-0.398799
3.246,3.09996,-0.427908
4.08762,3.16776,0.15458
4.66259,1.86793,0.870986
4.3236,2.57158,0.876
3.1323,1.93721,0.298979
2.27143,0.328764,-1.06007
3.23138,0.167158,-1.27903
2.73057,0.373224,-2.32313
2.5955,0.935209,-2.4283
2.84286,-0.0866056,-2.15193
3.38598,0.163158,-1.00644
2.66668,1.02783,-2.72036
1.34736,1.23084,-2.26485
1.58429,1.18563,-1.89003
2.8355,0.898108,-1.48889
2.17048,0.766121,-1.71236
2.83854,1.62513,-0.286763
1.83039,0.281368,-1.06658
1.6229,0.895827,0.62382
-0.0421419,1.74318,-0.0627712
1.05307,0.935909,-0.567031
-0.988137,-0.260968,-0.658513
-0.990836,0.0929036,-0.178758
-0.666932,0.441026,1.11335
0.327145,1.59333,1.05358
0.793718,0.661991,1.22663
-0.404418,0.650891,1.25136
-0.400294,-0.196435,0.801537
-0.129458,-1.06274,-0.58622
0.339718,-1.3218,-1.33143
0.186036,-0.67212,-1.76301
0.231403,-0.957258,-1.27283
-1.17432,-1.79624,-0.941903
-1.63277,-1.10178,-0.496135
-1.66532,-1.14926,-0.571378
-0.415156,-1.07104,-1.17329
-0.812666,-0.528476,-0.922172
-0.870138,-1.35347,-1.34251
0.673921,-1.21434,-1.10223
0.837164,-0.776752,-0.362907
0.778486,-0.433666,0.337449
-0.715013,-0.608149,-1.28056
-0.020719,-0.455921,-1.43418
0.969719,-0.40707,-0.799411
0.187073,-0.88022,-1.06352
1.32991,0.0742746,-0.273187
1.26614,0.453679,-0.193538
0.178508,0.841111,-0.389548
0.895536,-0.172672,-0.502721
0.312141,-0.55274,-0.692182
-0.486097,0.724786,-0.334433
-1.03653,0.894065,0.861272
-0.251461,1.74181,0.909099
0.174576,0.960416,-0.881458
-0.266649,0.235408,-0.560581
1.06036,-0.0778505,-0.712949
1.65357,-0.545533,-0.775441
1.55745,-0.582723,-0.225761
1.84583,0.250237,-1.39285
0.399506,0.160065,-0.974725
1.36865,0.0995938,-0.923658
0.61341,-0.488215,-0.97956
-0.162955,-0.0499036,-0.203425
0.434377,0.0976827,-1.04041
0.0377466,0.780223,-1.32361
0.10795,0.856471,-1.8669
0.28252,1.15981,-1.37072
-0.17439,1.23667,-2.07184
-0.372496,0.371044,0.233476
0.0968357,-0.0224097,-0.45271
0.0216579,0.077123,0.254041
0.00153165,0.735876,0.710297
-0.0270917,0.550167,0.474249
-0.216629,0.254976,-0.049317
0.362698,-0.188866,-0.0135543
0.622166,0.0167876,0.515771
1.29073,0.467486,0.153124
0.237982,0.193413,-0.199324
-0.667603,0.229783,0.430391
-0.85411,-1.18594,0.292908
-1.24534,-0.536962,0.499101
-1.92589,-0.96035,1.07379
-1.96901,-0.42255,0.894317
-1.81647,-0.342367,1.23088
-1.68375,-0.717799,1.59598
-1.61062,-0.0319856,1.48058
-2.01577,1.2445,1.67899
-0.858476,0.656479,0.257873
-0.340042,0.996897,0.364429
0.343487,0.443336,0.254115
1.04263,-0.200901,0.645485
1.10787,-0.812784,0.425336
0.186901,-0.652289,0.515401
0.261707,0.242258,0.388889
0.973069,0.23582,0.349934
0.427359,0.634448,1.38281
0.79767,0.610028,-0.16268
0.139977,0.549396,0.705153
-0.832528,0.372223,0.118305
-1.14496,0.0982898,-0.291533
-1.77917,0.386056,0.190615
-1.81217,-0.364792,-0.458366
-2.08782,-1.19271,-0.827574
-1.67095,-1.55605,0.0121077
-2.1438,-1.45875,-0.111326
-2.27839,-1.79429,-1.34415
-2.32268,-1.58082,-0.384177
-2.28518,-1.1676,-0.837125
-1.9732,-0.496616,-0.358884
-1.88098,-1.68024,0.129546
-1.63232,-2.20705,-0.0625294
-0.831602,-2.63956,0.633334
-0.593581,-2.42874,1.07221
-2.44837,-2.06694,0.703819
-2.86272,-1.25731,-0.0121415
-2.30191,-0.841707,0.0754129
-1.52423,-1.45392,1.35487
-0.786813,-1.6662,1.20506
-0.604815,-2.11599,0.230073
-1.04652,-1.04836,0.0891223
-0.313184,-0.942949,0.567849
-0.181361,-0.826938,0.888275
0.158707,-0.906231,0.127057
-0.102342,-0.146082,0.0436247
-0.128496,0.642243,-0.085614
-1.29847,0.674895,-0.118756
-0.876978,1.13286,-0.266627
0.458985,0.417035,0.489407
0.83121,0.0687973,0.49411
0.931708,-0.0457986,0.295115
-0.0168469,-0.284856,-0.826768
0.221896,-1.03737,-0.865181
-0.845755,-0.692518,-0.568494
-1.21061,0.286523,-0.235696
-1.41461,-1.22109,-0.857392
-1.78938,-0.491338,-0.1594
-0.168212,-1.66342,0.339161
0.560719,-1.23266,1.35525
0.156863,-1.4598,1.53459
-0.166313,-1.70056,1.02912
0.626373,-1.30954,0.784207
1.4911,-1.10354,0.270991
