x,y,z
-0.788809,-0.274236,0.540539
-0.488666,-0.118757,1.65528
-0.0355473,-0.619999,1.85755
-0.715516,-0.0863521,2.19596
-0.228905,0.875288,1.08504
-0.418694,-0.183135,0.549073
-0.267693,-0.407665,0.197948
0.122856,1.04676,0.345484
-0.094064,0.0348102,-0.0178991
0.584678,0.0509939,0.208123
0.615325,0.924912,0.937605
-0.157463,0.672194,1.35103
-0.559503,-0.132379,0.638316
-0.677688,-0.0738422,0.425894
-0.227862,-0.120035,-0.123478
-0.478725,-0.46724,0.38508
-0.292522,-0.299368,-0.0712219
0.599295,-0.832134,0.013929
0.753948,-0.536515,0.268594
1.09655,-0.413705,0.687575
0.977156,0.90059,0.885901
-1.39135,-0.460021,-0.480884
-1.26537,0.347195,-0.892169
-0.0955969,0.731426,-0.355732
-0.884991,1.10684,-0.5004
-0.652407,0.587269,1.29844
0.475633,0.841104,0.775294
-0.0478047,0.27337,1.17954
1.07493,-0.428363,0.967084
0.67197,-1.23593,-0.372133
-0.640847,-0.984042,-0.312015
-0.590548,-0.758441,0.49234
0.890936,-0.110551,0.926023
0.561837,-0.0166886,1.08616
-0.183315,0.714277,1.1003
0.200219,0.523752,0.958418
0.806516,-0.0949258,0.979771
1.43251,0.663093,0.00455218
2.19515,1.56282,-0.449143
3.38089,1.04422,-0.735697
3.22292,0.734478,-1.17353
2.11902,1.08377,-1.97399
2.44601,-0.627382,-0.77409
2.38438,-0.750643,-0.890649
2.07643,-0.322091,0.246622
1.10936,-0.995664,-1.2179
0.446957,-0.444238,-1.7886
-0.11169,-0.505984,-1.4713
-1.2207,0.173136,-1.6056
-1.28168,0.198433,-1.33599
-2.17575,0.331197,-1.00212
-1.99697,-0.452311,-1.03281
-1.86532,-0.705856,-0.475662
-2.53288,-0.364336,-0.855338
-2.92064,0.706959,-1.14718
-2.7907,0.996299,-0.724777
-1.91334,0.477659,0.0313642
-1.22251,-0.355714,1.54545
-1.67888,0.324482,2.77719
-1.35219,-0.220102,2.88234
-1.88703,0.298605,1.71707
