x,y,z
-1.36652,2.274,-0.77825
-1.19554,1.0698,-0.553991
-1.002,1.93265,-0.458691
-0.977664,1.89548,-0.693165
-1.6636,1.66998,-1.24738
-1.60051,1.52059,-0.640309
-0.546052,0.955865,-0.351264
-0.56162,0.104934,-0.977346
-1.39326,0.732953,-1.03076
-1.33714,1.42814,-0.373843
-0.691552,1.59498,-0.0523007
-1.43137,2.02769,0.226655
-1.84172,1.09772,-0.924775
-0.691707,1.02324,-0.574688
0.384702,0.823669,-0.581442
0.280744,0.174623,-1.42819
1.32604,0.0241191,-0.723544
1.38922,-0.206005,-0.608352
0.268798,-0.117054,-1.09617
-0.650678,0.206607,-0.579032
-0.33829,-0.745199,-1.45066
-0.80436,-0.228824,-1.79369
-1.34403,-1.36199,-0.978682
-1.58862,-0.736609,-1.94482
-1.54437,-1.0438,-1.0798
-1.52958,-0.13416,-0.475605
-1.70991,0.0221856,-1.36825
-2.11219,0.394709,-1.31926
-2.78452,1.42612,-0.19978
-3.04237,0.474352,0.806684
-1.91689,1.35862,0.15861
-0.848907,1.15811,-0.351299
-0.477077,1.26348,-0.92921
-1.53305,0.137809,-1.84662
-1.30005,0.81894,-1.85095
-2.01366,-0.0973538,-1.15229
-1.47974,-0.685132,-0.284172
-1.00916,0.18754,0.760244
-0.526694,-0.260927,0.926603
-0.687807,0.163463,0.170681
0.444927,-0.151699,-0.268033
0.500144,0.47503,-0.189682
0.127473,-0.0186107,-0.055131
0.537628,-0.0564928,-0.218855
1.16888,0.628688,-0.528378
1.29606,0.30111,-0.754881
1.28599,0.871456,-1.75135
1.35027,1.18542,-0.617113
0.853295,2.15782,-1.69898
1.54264,1.7678,-0.947224
0.744654,2.78224,0.270938
1.43548,2.75516,-0.866041
1.10835,1.75195,-0.727259
1.36373,1.56932,-0.147898
1.58756,1.10849,0.139114
2.62619,1.03609,1.28557
2.64556,1.43931,1.45108
1.70457,0.962104,0.239291
1.37895,0.276449,-0.315257
1.09252,-0.827616,-0.812318
1.93161,0.178618,-1.68703
2.85244,-0.739202,-0.693942
2.98245,-0.380481,0.0257642
1.79177,-0.34104,-0.6762
0.680254,0.469514,-0.600313
1.04018,0.378569,0.322701
0.420624,-0.127079,0.929719
-0.525887,1.07754,0.263649
-1.1365,0.206104,-0.0354215
-0.275363,1.18317,-0.492605
-1.41895,0.426522,-1.35575
-1.4843,-0.708786,-1.61369
-0.777728,-0.732936,-0.801756
0.192589,-1.31092,-0.76035
-0.317494,-1.22034,-1.68622
-0.917973,-1.3902,-1.59883
-0.683687,-1.07521,-0.983664
-0.166868,-1.26998,-0.539904
0.43082,-1.62939,0.675291
-0.495315,-0.754985,-0.0520888
-0.0583431,0.0680744,0.525239
0.050504,0.778278,0.174164
0.452314,-0.178507,0.0320102
0.794333,-0.0372339,-0.466349
0.0269675,-0.488016,0.418404
0.86305,-1.09695,0.329497
1.47683,-1.12363,1.33809
1.09416,0.0893872,1.81328
1.16327,-0.905793,1.45571
0.817153,-0.199297,0.422129
1.5547,0.371495,0.623288
0.564562,0.55897,-0.380398
-0.257664,-0.462378,0.0570437
-0.00749573,-0.824057,-0.155879
-0.417536,-0.079469,0.787888
0.594662,-0.421103,0.630793
-0.0110043,-0.370795,-0.0945063
0.018886,-0.0515324,-0.290339
1.10595,-0.17201,-0.0940514
0.298705,-0.563963,-0.25703
-0.109779,0.161012,-0.773173
