x,y,z
51.1296,0.0760817,0.0463327
55.1206,0.0398483,-1.13153
53.953,-1.9519,-4.8203
53.964,-1.12233,-2.49094
51.5931,-2.61672,-3.72445
53.1412,-0.307958,-5.81981
52.9673,-1.31131,-5.16236
55.0801,0.440035,-6.16715
54.9642,-1.25616,-5.58114
52.9803,-1.18854,-9.12513
50.1719,-0.902953,-10.3975
47.7032,5.08638,-9.70172
48.5474,5.62906,-10.4932
49.0071,3.08153,-13.2037
50.2303,4.60711,-12.8254
48.8574,4.60191,-13.9473
49.0697,5.51111,-10.3179
50.1513,5.59403,-10.0911
51.6264,4.94208,-7.18849
49.7961,2.61728,-7.40311
48.3555,1.67864,-6.71227
47.5269,2.60993,-8.59522
44.7643,3.16194,-10.7001
43.7958,2.05164,-13.0792
43.981,1.6964,-14.9022
43.4941,0.944019,-17.307
44.1465,0.70812,-17.4678
43.6545,0.0619367,-17.2714
43.3479,2.79188,-18.9551
41.2465,3.10155,-19.9689
40.7839,3.26359,-18.974
39.9896,1.83512,-19.253
39.6193,1.70531,-20.514
40.861,4.29863,-17.5411
36.186,4.84169,-19.8095
35.425,1.80806,-18.8587
35.4416,3.90269,-20.1965
34.7723,2.1875,-20.61
35.4725,0.213689,-20.037
33.7788,1.73259,-22.7082
31.1133,2.79416,-24.3533
31.1985,-0.713269,-23.6823
29.647,-4.51208,-24.232
30.0478,0.168385,-21.8263
30.4384,0.303452,-21.2275
29.3833,-3.02534,-19.9548
29.5714,-2.34383,-20.2052
29.3158,-0.662878,-20.5194
26.818,-1.19986,-21.124
26.7558,1.62306,-21.1018
28.2296,0.70733,-19.3292
28.0947,2.03938,-17.3577
27.6584,1.07146,-18.7642
28.4093,-1.67311,-19.3271
29.7665,-4.11783,-16.9305
29.6925,-1.89155,-17.7241
29.6746,-1.81688,-18.2735
26.9358,-5.20167,-18.1016
26.3559,-5.39239,-19.9807
25.2633,-2.43751,-18.869
23.3582,-0.998515,-19.3328
23.0863,-1.13667,-18.9396
22.806,-5.84656,-20.8323
21.8596,-5.7591,-21.2542
20.048,-4.37872,-20.0316
16.5211,-1.61439,-17.0092
16.4002,-0.516269,-17.9507
15.1527,0.307376,-20.7717
14.2208,-1.78467,-21.081
13.7716,-2.64262,-18.7935
14.6184,-1.93454,-18.9417
12.5134,-2.49194,-18.057
11.9659,-2.41673,-18.411
8.028,-2.59102,-21.2312
4.70576,-2.75814,-22.9905
2.52035,-4.08103,-21.8787
2.42691,-3.35932,-21.605
1.10205,-2.29432,-22.8073
2.29774,-1.63641,-19.0299
3.39385,-1.83833,-18.1439
5.34,-1.84314,-18.8833
5.77651,-2.43838,-17.3665
5.6319,-1.25242,-17.1248
8.10555,2.71154,-16.084
8.86876,3.41005,-12.6388
5.05413,1.09475,-9.83299
5.8525,-2.66387,-8.44343
4.48857,-2.23152,-7.17448
4.01974,-1.69451,-5.83901
5.49015,-2.40715,-3.83895
6.98812,-2.65005,-4.40932
6.24781,-2.33015,-4.48406
7.2746,-0.28009,-5.13002
6.1859,0.545759,-5.72014
6.03561,-2.42803,-2.9074
1.91069,-2.00063,-4.48886
1.73289,0.0269755,-4.39345
0.788869,-1.47445,-1.12919
-0.182911,-1.96194,-1.07635
-0.665983,-0.419954,1.18434
0.798299,-1.38701,0.789113
0.612246,0.633932,-0.275705
1.05649,1.10625,-0.224967
1.47757,0.502318,1.71203
3.87623,-2.27659,3.51382
3.47121,-1.00269,4.21315
4.55594,-3.28702,3.05861
3.86751,-4.74878,5.03632
0.635708,-5.32217,4.15439
1.67794,-3.01781,5.28233
1.75291,-2.42093,6.40974
1.15052,-2.88975,3.34335
1.31337,-3.12104,3.70381
1.70623,-1.48064,1.6623
2.09962,0.25149,1.21657
2.2678,2.74279,4.31725
2.71058,3.91616,4.78688
1.8172,1.53179,3.97898
3.06739,-0.316367,3.04125
1.79184,-1.80975,1.92481
2.82429,-0.137067,2.14296
0.721795,-0.266548,0.657423
2.38027,-1.39234,-1.32367
1.44254,-1.68813,-1.93715
0.398712,-2.43369,-2.58595
-2.92106,-2.04433,-3.67215
-2.06896,-0.595185,-2.19315
1.79259,0.296579,-2.98708
1.87851,-1.5986,-4.51011
0.518457,-3.48777,-5.9676
-1.90749,-3.25136,-3.45849
-0.795361,0.802648,-2.7305
-2.81195,-0.287662,-3.43415
-0.432429,0.263116,-4.97026
