x,y,z
5.00383,-3.22965,-1.19208
4.88537,-2.127,-1.73313
2.06598,-0.331861,-3.52115
3.52624,-0.238882,-7.48567
1.38361,0.239477,-8.78826
0.191783,2.27944,-8.3389
-0.111298,0.504409,-7.90711
0.662934,0.851555,-6.07059
-1.66027,3.7071,-4.76313
0.578462,3.2361,-3.02227
-1.13055,1.90962,-0.910623
1.74915,0.948245,-2.92282
2.88101,0.258005,-3.3103
3.30746,0.00388179,-3.28144
0.689508,1.27823,-0.645971
-1.83623,-1.53726,-2.21916
-2.16243,-1.85961,-4.00049
-1.55233,-0.464196,-3.98285
0.159841,-0.938773,-4.95139
1.07779,-2.9447,-3.2436
-1.86503,-2.61356,-3.89787
-1.03119,-3.58237,-2.74082
-1.05802,-4.43151,-1.45897
-1.60676,-3.99811,0.969462
-1.60082,-3.5445,0.999265
0.678168,-2.57923,0.583957
-0.753706,-3.96471,-1.35286
-2.29408,-3.19198,-1.70043
0.0239713,-1.56682,-3.37904
-2.7202,1.91184,-5.2697
-2.16549,2.95031,-6.08983
-2.15232,5.13801,-6.9278
-3.99915,5.30504,-8.80934
-6.12342,4.48713,-7.65829
-4.74658,4.2394,-5.57101
-6.16088,2.8334,-7.11318
-5.05246,2.62626,-5.78998
-5.19445,0.986709,-6.51445
-5.80726,-1.19192,-2.78385
-4.10095,-3.55106,-2.6833
-2.46536,-2.80237,-2.21904
0.0266815,-3.93778,-3.39973
-1.39032,-2.15114,-2.97287
-1.81442,-0.990746,-2.83661
0.835791,-3.10129,-2.60006
-0.75214,-0.220957,-1.88959
0.536352,-3.5036,-1.71367
-1.63278,-1.81588,-2.09737
-2.20155,-0.628293,-1.6705
-2.43388,0.557922,-3.91309
-0.734842,1.93431,-3.85607
1.41293,1.71276,-5.79823
0.500089,3.32694,-3.62351
0.495868,4.43882,-3.16541
0.433545,5.02966,-2.23708
1.27056,2.08246,-2.34817
-0.357726,1.74448,-3.5986
0.699502,0.68162,-3.73084
-1.16793,-0.751442,-2.59333
-1.71907,-1.91158,-1.52962
-2.04061,-1.7378,-1.37871
-1.72308,-1.24595,-3.27808
-0.759771,-0.255675,-3.35511
-0.135696,-1.08454,-3.80207
0.795799,-0.2297,-1.16926
-0.633268,0.859417,-3.54021
0.540845,-1.16094,-3.28188
1.0289,-3.37422,-2.70382
2.86716,-0.418614,-1.98344
1.0687,0.996888,-3.07516
-0.238342,1.42792,-3.44328
-0.0180737,0.0516856,-3.38019
1.22278,-0.649275,-4.11817
-0.306142,1.43895,-2.6925
1.11029,1.87452,-3.01911
-1.07054,1.79724,-3.17142
-2.70159,2.44453,-2.55003
-0.21746,0.753896,-1.79949
3.65892,0.966823,2.23853
1.07739,1.18865,4.07328
-1.31364,3.08905,2.9304
-1.20263,3.02989,1.72511
-3.08232,3.60535,1.30173
-0.710303,6.44116,1.35294
-1.27484,5.55247,3.28075
0.181464,5.59853,1.60084
-1.44996,7.92003,3.21109
1.59436,4.20993,2.57548
2.55701,4.09934,2.75231
4.86621,4.12019,4.90046
4.08573,4.43033,6.5709
2.63665,3.71291,6.00193
1.78553,2.86981,5.65075
0.664149,3.1887,6.39387
-0.78987,1.97487,6.94746
-1.29435,2.20654,6.43357
-1.18643,-0.533344,4.39228
-0.709586,1.86868,4.22005
0.255759,3.42266,4.106
2.22756,1.82563,3.50659
0.326356,1.4052,5.18407
-0.75016,0.595564,4.80874
-2.11215,3.76891,3.42568
-2.66416,4.33714,1.90532
-4.73306,3.16455,3.0513
-5.73339,2.60817,3.36851
-4.54469,1.45798,2.41546
-3.3036,0.854055,1.98567
-1.90163,2.82999,1.92668
0.953519,3.12677,2.15968
1.85096,2.59203,3.35057
-0.979458,0.949804,1.86244
1.04698,1.22372,2.14448
0.026864,1.9094,0.678864
-1.90234,3.10882,1.65692
-2.07251,3.39718,-4.48667
-2.31767,2.69397,-2.24499
-3.85202,0.564268,4.67691
-3.63371,0.622507,2.2066
-3.32987,0.864729,0.821663
-1.29167,1.36788,1.14538
-0.0828714,-0.735942,-1.84414
-2.49855,0.326466,-3.36675
-1.18405,1.55451,-2.92907
-0.714338,0.666574,-4.49792
-0.431746,1.31507,-1.16638
-0.243149,-0.0109756,-2.93913
0.752323,0.739455,-4.12742
1.48596,-1.55214,-3.68372
1.54225,-1.38899,-2.12898
0.863555,-4.32286,-1.92851
2.5374,-1.33529,0.324216
2.26595,-2.50314,-1.72808
1.13129,-2.46476,-1.35851
1.88883,-1.90151,-3.42779
0.753214,-2.32539,-2.50588
0.40398,-0.661986,-1.13964
1.76699,-0.787994,-2.34755
-0.0628371,-1.43529,-3.24552
0.707077,-0.386322,-1.3259
1.23694,-0.892248,-4.55819
0.0131696,-1.84102,-3.36844
-1.60578,-1.69701,-3.99745
-3.58064,-1.24377,-1.53393
-2.75766,-2.18137,-1.83603
-2.89521,-2.26456,-2.91588
