x,y,z
7.47566,-1.36119,0.801638
5.31255,0.804827,0.784943
7.69915,0.310288,-1.38851
5.11634,3.14668,-3.00966
2.63142,1.3105,-5.11093
1.30796,2.94493,-4.25911
-0.850364,2.00615,-2.94077
-1.51636,0.863896,-3.13346
-4.20801,3.16083,-4.37773
-4.17714,4.06766,-6.48589
-4.09665,3.22189,-3.81147
-2.68136,3.65865,-6.35197
-2.79651,3.04633,-4.27244
-2.74052,1.63277,-6.31915
-1.72264,-1.12106,-5.06503
-0.650338,-2.54089,-4.65994
-0.35491,-1.26778,-4.30113
2.27126,1.35139,-3.95574
-0.401535,-1.04155,-4.29124
0.207851,1.06386,-3.59679
-0.337583,0.005009,-4.55943
-3.0681,1.01551,-2.19244
-0.350734,1.1191,-2.60055
-1.86714,2.78905,-4.06763
-2.73099,0.958446,-3.00829
-1.70408,1.64706,-1.82211
-0.710519,0.805924,-3.52923
1.22954,1.77189,-2.51147
2.78976,2.17237,-2.00515
4.51803,0.138608,-2.50535
6.03728,-1.34832,-2.73519
4.94802,-0.990728,-4.46136
6.13958,-2.00134,-6.22067
7.54099,-2.70286,-3.92874
6.21537,-2.97174,-2.66719
5.91869,-2.98813,-2.36226
4.8419,-4.99147,-4.71086
4.70253,-2.63363,-4.62008
3.36191,-3.30888,-5.37673
5.43345,-2.64627,-4.25369
3.10024,-3.25924,-3.8928
3.94635,-2.76977,-6.31562
4.33407,-3.98672,-3.77111
2.93944,-3.71429,-6.45276
0.646694,-3.61772,-5.35604
-0.00900394,-1.64884,-4.1218
-1.36367,0.559449,-4.15206
-2.19547,1.93715,-1.85106
-2.54363,0.630166,-1.20788
-3.2869,1.26238,-3.88136
-2.28077,2.60035,-3.18899
-1.25655,0.401535,-0.654662
0.531529,2.93998,-3.27515
2.19084,1.18004,-3.79324
-0.0131974,1.72197,-4.11442
1.50367,-1.0275,-4.39723
3.25479,-3.87585,-4.77064
4.77944,-2.71217,-6.22143
4.18126,-1.60612,-5.58074
1.66158,1.04071,-3.74318
2.81737,2.41184,-5.23091
0.331142,-0.0169207,-3.76304
-0.0201865,-2.10989,-3.92552
-0.364777,-1.25639,-1.81233
-0.270759,-1.9899,-2.03529
2.04277,-0.485499,-3.78723
3.40125,-1.71218,-4.21682
1.35502,0.409243,-2.75037
1.30316,1.18705,-2.82393
-1.34834,3.14652,-4.65826
-3.00525,1.32311,-2.82082
-3.77175,0.537672,-3.18507
-2.4748,2.6613,-2.92669
-3.55328,0.808492,-5.66923
-2.45868,-1.77373,-3.47926
-0.514107,-2.30307,-4.14866
-1.10102,-0.473982,-5.14488
-3.21098,2.20617,-4.85613
-1.97198,0.345493,-4.42001
-1.6492,0.267926,-2.26402
-0.583115,0.572984,-3.09482
1.65795,0.967581,-4.1742
2.4207,1.74863,-2.43286
0.275555,3.08662,-4.32637
-0.595507,2.89389,-2.39888
-0.00678895,3.16521,-2.3961
0.282589,3.9992,-1.35154
-0.471786,3.08897,0.708085
0.311474,4.27598,-1.66648
1.17081,3.7483,-3.2188
-0.301598,2.75341,-4.28899
-1.56223,2.98172,-3.37723
0.995432,2.85131,-3.94697
-0.319593,1.61009,-5.65394
-2.42832,-0.760422,-4.5394
-0.151424,-0.137413,-5.6929
-1.2322,-2.13634,-6.08671
-0.279563,-1.14249,-4.07409
-2.38792,0.303529,-2.1629
-2.06626,-0.0548558,-1.59466
-1.94045,2.7392,-2.21626
-2.3195,2.06326,-3.88484
-1.81526,2.30979,-5.42653
-2.312,2.74784,-3.0542
0.0622189,1.17321,-1.55106
-0.0844857,-0.567947,-3.93518
1.02945,1.27578,-4.28096
-1.35625,3.64018,-4.61847
0.488884,5.14956,-5.78812
-1.36868,3.34138,-7.82727
-1.28921,1.52484,-5.512
-0.785723,4.09912,-6.27379
0.505101,5.32261,-4.55895
1.05237,5.53361,-4.25701
3.13295,4.60935,-5.23601
5.37715,2.34222,-4.29124
4.44227,2.84958,-6.68054
2.50355,1.33921,-7.32127
2.31684,-0.87009,-6.31775
3.47462,1.23239,-9.1492
4.50808,1.18355,-9.96141
5.03211,0.114656,-12.735
7.57045,-1.76489,-11.5763
7.63441,0.224048,-12.2952
7.08269,1.47244,-9.80878
5.71498,0.592195,-7.4727
3.7123,-0.547422,-7.8067
3.81594,-2.13477,-9.43525
3.67877,-0.15486,-6.79164
6.21897,0.520159,-5.86044
6.30467,-0.434026,-3.54719
5.85768,-1.66517,-5.8106
3.7556,-2.93505,-7.05912
5.86967,-1.08754,-5.41662
4.97029,1.67362,-7.31416
4.42849,3.99291,-6.51389
4.27367,3.60941,-3.93234
1.75767,2.95897,-3.3899
-0.358574,0.339238,-4.31572
-0.307617,1.16843,-5.99422
-2.54431,0.652735,-5.59124
-1.84693,0.503768,-7.44801
-0.376791,1.7759,-7.68408
0.498284,2.69117,-5.02436
1.92854,3.89231,-4.37266
0.394555,3.70706,-4.58125
3.07195,4.04675,-3.01579
0.892071,2.76439,-1.50684
-1.90426,4.07067,-3.38129
-1.77804,2.44576,-3.3348
-1.62349,0.649735,-5.21626
0.635891,-1.65617,-2.48215
0.333235,-0.14385,-1.05001
2.05285,-0.595109,-0.830878
2.20501,-2.76349,-1.54073
4.13747,-2.09512,-2.11742
4.26187,-0.698621,-3.20744
4.26818,1.80436,-1.77616
1.63836,4.04832,-0.91984
1.97369,6.59684,-2.13203
1.17664,4.39524,-3.79366
0.440567,3.7108,-5.74816
-1.2923,3.74874,-5.35384
-0.982193,6.32025,-5.10929
-1.83169,5.61919,-3.15828
-2.48348,4.63127,-4.87093
-4.31854,3.33599,-5.53702
-6.99495,0.793626,-5.3112
-4.44202,-0.302583,-3.88485
-1.61767,-0.354101,-1.94265
-2.31922,-0.952796,-4.05135
-1.12644,-1.73949,-5.74539
1.05087,-0.394468,-4.41114
0.978298,0.519855,-3.39106
-1.42241,-2.00325,-1.85046
-2.02345,-3.0875,-2.78375
0.742258,-4.08115,-4.5544
-0.399223,-5.7986,-3.56149
2.11166,-3.5709,-4.79757
4.07519,-2.50387,-3.85604
2.22272,-4.62417,-4.02523
-0.254792,-1.79554,-1.6808
2.33106,-1.21214,-2.01302
2.72448,0.0667357,-4.33144
0.598409,0.142864,-1.78514
2.33059,0.845862,-2.17263
-0.161235,-0.00744426,-0.853002
1.10849,-1.998,1.09196
-0.946042,-0.57695,2.58539
-0.210086,0.90133,1.51784
-0.803179,-1.23204,2.59021
1.1065,0.425996,2.63989
-1.39818,1.10676,4.12111
-1.44147,1.51005,6.81854
-2.54434,3.198,5.23732
-1.16929,2.05225,4.94613
0.746878,-0.744791,6.20322
1.3309,-1.16329,5.30621
3.24997,-1.657,4.11278
1.4569,-2.31589,2.96606
2.83932,-0.885519,2.1542
0.796764,-0.556892,3.22777
1.32282,0.168458,1.43523
0.142325,0.897559,1.61994
-1.46958,-0.87388,3.31595
0.294458,-0.156779,1.8359
