x,y,z
x,y,z
x,y,z
-3.07301,4.79205,1.19036
-5.94593,4.01498,-0.0143639
-4.03978,-2.87077,1.10442
-3.00215,0.670937,-1.65449
1.44347,3.61941,2.5997
1.34638,-1.38275,-0.984379
0.505432,3.10858,-1.02323
5.2289,1.2481,-3.11798
5.21235,-2.16792,5.21602
3.08424,-7.04909,2.78585
6.95808,0.00627005,3.34491
9.28299,0.860706,7.33078
3.15659,5.48785,-0.0980863
-0.177261,2.15598,2.14331
4.60151,-4.25666,0.264527
2.412,4.47727,-0.348753
-0.779127,-0.980906,2.13096
-5.29624,0.133067,-2.86288
2.87569,-0.0584545,-0.573682
-0.80363,0.405932,0.223159
-0.830617,-2.93467,1.66499
8.10877,4.07935,-0.171236
0.911528,1.28149,-1.15815
-7.3428,-3.36635,0.676203
1.85933,-3.35664,-0.236588
1.64914,-0.39464,0.266898
-0.726584,-3.47749,-1.24793
-0.809215,-3.87034,-0.263238
0.298095,-3.73648,-2.22397
-2.60756,7.43746,4.73349
-2.99162,4.37208,3.41465
-1.59033,1.63914,4.38128
3.15464,-0.445361,1.16032
-2.60496,-2.7128,1.66221
-0.431503,-3.18233,-2.05495
6.84453,2.07662,-9.12011
0.329322,1.41189,0.68607
-1.02804,1.31212,-0.0474241
-0.420924,1.97053,-2.64641
1.8806,5.54074,-2.51896
-3.26333,-2.79701,2.34052
-4.15451,1.78531,-1.90825
5.75704,-5.66023,-1.36596
4.2269,-2.36554,-3.12605
2.06898,3.70836,5.31879
4.65206,0.265343,2.96362
-3.55169,1.44089,-2.0915
3.83339,0.808799,1.61935
1.67229,3.4809,-2.65672
-2.27136,1.78185,1.69176
-2.17254,-1.13691,-0.536983
-1.69371,0.82718,-0.0907785
-2.27638,2.74381,1.52997
-2.39438,-3.41535,3.74178
-2.27229,-2.216,2.58431
-0.561068,1.08899,-0.167208
2.55064,-4.86666,4.60642
0.373354,4.86463,-2.85742
2.85536,3.6879,-8.30906
5.40489,4.43277,-3.45415
2.56951,0.315395,1.91889
5.35939,2.70346,1.37536
-3.78134,9.67354,-2.9058
0.416396,2.69635,0.608634
0.528008,6.64869,-1.67548
-7.36771,2.98644,-7.31968
-8.59121,4.87927,-5.2477
-4.83228,-0.139032,-9.06728
-9.62486,1.52779,-9.02924
0.865742,0.0464047,-3.87015
1.9257,-3.05566,0.763949
-1.48965,-1.67987,1.47083
-0.581552,-2.05495,-0.54611
1.9305,-0.165919,-1.94637
1.09669,-1.43864,-0.410367
-0.84508,-1.04593,0.748873
-1.06332,-1.33539,-11.1336
0.252878,-0.781131,3.13692
-2.98147,-2.50661,-1.4773
-0.225091,0.904684,2.95673
-4.65152,-1.27612,-2.51694
-0.978126,-0.53486,0.37326
3.61893,-0.210699,-4.47258
0.564697,0.478099,-0.724394
-0.223789,0.0552903,0.172551
-6.62358,1.35571,-0.183798
-1.60775,4.62105,7.22521
1.35902,5.26002,6.85059
-3.8169,-5.32151,-3.20428
0.561815,-2.85801,-1.74813
-1.12479,-3.22987,5.49804
-0.708506,-2.4422,-4.99053
5.20306,-0.970989,0.922588
4.54163,-2.69658,5.76846
-3.09116,13.0291,-5.38353
2.93915,3.43161,-5.93673
1.22036,0.637012,-1.04834
2.99055,4.11945,-0.303423
1.84982,4.50795,1.60056
1.02614,-5.20184,-0.957093
-5.5189,3.60104,-0.522524
-0.891317,6.2649,-1.20135
-0.781336,-3.36591,-0.807127
4.90121,-3.42584,-0.037486
1.22666,1.44609,-5.75565
-0.718314,-10.1425,-2.40272
5.12747,3.24113,0.0952028
9.82119,1.50823,4.21689
0.974916,6.70011,-4.80069
0.86874,-0.797586,-2.1686
-2.30952,-4.35417,1.30413
-0.799518,-1.46838,1.24577
-3.06866,2.58036,0.25253
5.96596,0.0528039,-6.30577
-2.39474,-2.23942,-13.6971
13.9035,6.70377,-6.07125
10.831,8.6783,-1.55225
-3.58391,3.55296,4.27672
-3.77013,-0.583469,4.14075
-1.09995,4.27442,-1.14034
-2.507,3.05759,-1.44351
-2.24891,3.52104,-1.8178
1.01174,-0.602892,-1.77803
-3.43445,6.13581,1.20515
-2.6865,-1.87367,1.77487
2.52483,-3.28534,0.889983
4.61915,0.343734,0.20402
-0.134993,4.74985,0.162137
2.8667,2.24997,-4.73769
-0.23248,-2.74223,-6.44211
-3.03133,0.964511,3.14176
0.347938,4.2383,0.837062
