sum,mean,err
0.988059,0.988059,0
1.23889,1.11347,0.125413
0.924205,1.05038,0.096037
0.924205,1.01884,0.0748773
0.655917,0.946254,0.0929111
0.655917,0.897865,0.0899807
0.655917,0.863301,0.0835339
0.903002,0.868263,0.0725125
1.58531,0.947935,0.102162
1.76103,1.02924,0.122315
1.60001,1.08113,0.122201
1.60001,1.12437,0.119641
1.60001,1.16096,0.115976
1.60001,1.19232,0.111859
2.55303,1.28303,0.138105
1.24664,1.28076,0.129206
1.24664,1.27875,0.121384
1.31196,1.2806,0.114457
1.31196,1.28225,0.108278
1.69522,1.3029,0.104776
1.72092,1.3228,0.101631
2.49342,1.37601,0.110549
2.49342,1.42459,0.11627
2.49342,1.46913,0.119898
2.49342,1.5101,0.122082
2.49342,1.54792,0.123239
3.26556,1.61154,0.134573
3.64343,1.6841,0.148602
3.55302,1.74855,0.157203
3.55302,1.8087,0.163349
2.50956,1.83131,0.159602
2.50956,1.8525,0.155981
1.71547,1.84835,0.151237
1.60773,1.84127,0.146892
2.06755,1.84774,0.14278
2.06755,1.85384,0.138891
1.32584,1.83957,0.135837
0.991357,1.81725,0.134085
0.991357,1.79608,0.132307
0.580342,1.76568,0.132491
0.580342,1.73677,0.132413
1.37184,1.72808,0.129514
1.4378,1.72133,0.126646
1.4378,1.71489,0.123902
1.06609,1.70047,0.121973
1.06609,1.68668,0.120086
1.06609,1.67347,0.118243
1.39915,1.66776,0.115894
1.39915,1.66228,0.113637
1.73704,1.66377,0.111351
2.17565,1.67381,0.109606
2.51165,1.68992,0.108679
2.51165,1.70543,0.10773
2.60628,1.72211,0.107024
3.11056,1.74735,0.108051
2.6273,1.76307,0.107261
2.6273,1.77823,0.106448
2.68731,1.7939,0.105764
2.68731,1.80905,0.105053
2.68731,1.82368,0.10432
2.68731,1.83784,0.103567
2.68731,1.85154,0.1028
1.94304,1.85299,0.101166
1.94304,1.8544,0.0995825
1.94304,1.85576,0.098048
2.36828,1.86353,0.0968628
2.36828,1.87106,0.0957031
2.28473,1.87715,0.0944813
2.7512,1.88981,0.0939597
2.7512,1.90212,0.0934217
2.7512,1.91408,0.0928697
2.21117,1.91821,0.0916636
2.2276,1.92244,0.0904986
1.60331,1.91813,0.0893713
1.60331,1.91393,0.0882715
1.60331,1.90985,0.0871982
1.60331,1.90586,0.0861503
2.10981,1.90848,0.0850788
2.10981,1.91103,0.0840336
1.35723,1.90411,0.0832648
1.16699,1.89501,0.0827324
1.16699,1.88613,0.0821982
1.16699,1.87746,0.0816627
1.16699,1.869,0.0811268
1.37071,1.86314,0.0803807
1.45255,1.85837,0.0795839
1.0961,1.84961,0.0791503
1.0961,1.84104,0.0787128
1.0961,1.83267,0.0782722
1.23619,1.82605,0.0776809
1.23619,1.81956,0.0770955
1.26759,1.81356,0.0764885
1.26759,1.80769,0.075889
2.14595,1.81129,0.0751635
2.14595,1.81481,0.0744515
2.14595,1.81826,0.0737526
1.84452,1.81853,0.0729888
2.03752,1.82077,0.0722747
2.72003,1.82985,0.0721153
1.96548,1.83121,0.0714034
2.74377,1.84024,0.071268
2.72238,1.84889,0.0710938
1.9405,1.84978,0.0704058
2.05603,1.85177,0.0697537
2.46126,1.85757,0.0693296
2.46126,1.86327,0.0689082
2.36691,1.86797,0.0684233
2.52041,1.87401,0.0680554
2.79392,1.88245,0.0679543
1.52157,1.87917,0.0674136
1.29622,1.87392,0.0670096
1.29622,1.86876,0.0666086
1.29622,1.8637,0.0662107
1.29622,1.85872,0.0658158
1.71503,1.85747,0.065253
1.71503,1.85624,0.0646996
1.71503,1.85503,0.0641556
1.71503,1.85385,0.0636207
1.27961,1.84902,0.0632681
1.27961,1.84428,0.0629178
1.27961,1.83961,0.0625699
1.27961,1.83502,0.0622245
1.08433,1.82892,0.0620176
0.987845,1.82213,0.0618882
0.987845,1.81546,0.0617528
0.444274,1.80458,0.0622198
0.444274,1.79387,0.0626504
0.444274,1.78332,0.0630469
0.444274,1.77294,0.0634116
1.02709,1.7672,0.063183
1.3216,1.7638,0.062791
1.34343,1.76062,0.0623948
1.75294,1.76056,0.0619239
1.53625,1.75889,0.0614829
2.37473,1.76345,0.061196
2.37473,1.76794,0.0609104
2.37473,1.77237,0.0606262
3.33001,1.78366,0.0612346
3.0812,1.79299,0.0615049
3.06674,1.80209,0.0617381
3.06674,1.81106,0.0619514
2.12074,1.81324,0.0615522
2.51962,1.81818,0.0613195
2.51962,1.82305,0.0610867
2.21072,1.82573,0.0607229
2.711,1.83179,0.0606096
2.91687,1.83917,0.0606468
2.91687,1.84645,0.0606741
2.83178,1.85307,0.0606273
2.15389,1.85507,0.0602551
1.42726,1.85224,0.0599218
0.634237,1.84423,0.0600632
1.12237,1.83951,0.0598555
1.12237,1.83485,0.0596477
1.36388,1.83181,0.0593394
1.36388,1.82881,0.0590341
1.21202,1.82488,0.0587883
0.999198,1.81966,0.0586483
0.999198,1.8145,0.0585063
0.52927,1.80647,0.0586917
0.52927,1.79853,0.0588631
0.52927,1.7907,0.0590209
0.52927,1.78296,0.059166
0.540775,1.77538,0.0592899
0.540775,1.7679,0.0594026
0.540775,1.76051,0.0595047
0.540775,1.75321,0.0595965
0.540775,1.74599,0.0596787
1.94769,1.74718,0.0593365
2.10666,1.7493,0.0590243
2.10666,1.75139,0.0587154
3.2601,1.76016,0.0590284
2.79049,1.76611,0.0589876
2.79049,1.772,0.0589424
2.17991,1.77433,0.0586509
2.3009,1.77732,0.0583934
2.11774,1.77925,0.0580944
1.71275,1.77887,0.0577683
1.71275,1.7785,0.0574459
1.71275,1.77814,0.057127
2.23931,1.78069,0.0568676
2.23931,1.78321,0.0566104
1.34544,1.78081,0.056351
1.34544,1.77845,0.0560938
1.34544,1.77611,0.0558389
1.22364,1.77314,0.0556172
1.42755,1.77129,0.0553499
1.42755,1.76946,0.055085
1.05761,1.76569,0.0549221
1.05761,1.76197,0.0547592
1.72993,1.7618,0.054472
1.3987,1.75991,0.0542206
1.3987,1.75804,0.0539714
1.77881,1.75814,0.0536926
1.77881,1.75825,0.0534166
1.77881,1.75836,0.0531435
1.77881,1.75846,0.0528731
1.56154,1.75747,0.0526148
1.03461,1.75383,0.0524756
0.738223,1.74875,0.0524589
0.423871,1.74216,0.0526118
0.441571,1.73572,0.0527452
0.441571,1.72935,0.0528705
0.441571,1.72304,0.052988
1.05365,1.71977,0.0528299
0.916534,1.71587,0.0527173
0.916534,1.71201,0.0526039
0.916534,1.70819,0.0524899
0.899583,1.70432,0.0523812
0.899583,1.70049,0.0522718
1.95228,1.70168,0.0520372
1.95228,1.70286,0.0518046
1.54483,1.70212,0.0515662
1.6298,1.70178,0.0513258
1.6298,1.70145,0.0510876
1.6298,1.70111,0.0508516
2.1016,1.70296,0.0506504
2.1016,1.70479,0.0504506
2.1016,1.7066,0.0502524
2.27765,1.7092,0.0500908
2.27765,1.71177,0.0499299
1.58006,1.71118,0.049708
1.34572,1.70954,0.0495117
1.34572,1.70791,0.049317
0.931534,1.70446,0.0492184
0.931534,1.70104,0.0491193
0.931534,1.69765,0.0490198
0.931534,1.69429,0.0489199
0.932206,1.69096,0.0488193
0.932206,1.68766,0.0487184
0.932206,1.68439,0.0486172
0.932206,1.68115,0.0485157
0.997504,1.67822,0.048396
0.787826,1.67441,0.0483387
1.23332,1.67254,0.0481692
1.23332,1.67067,0.0480007
1.23332,1.66883,0.0478334
1.23332,1.667,0.0476671
1.27222,1.66535,0.047496
0.763212,1.66159,0.0474468
0.763212,1.65786,0.0473963
1.48363,1.65714,0.0472056
1.45456,1.65631,0.0470183
1.45456,1.65548,0.0468325
2.51475,1.65899,0.0467726
2.75096,1.66343,0.0467931
2.67273,1.66751,0.0467821
1.97489,1.66875,0.0466096
1.97489,1.66998,0.0464383
1.97489,1.6712,0.0462682
1.97489,1.67241,0.0460994
1.91025,1.67336,0.0459258
1.58362,1.673,0.0457453
1.58362,1.67265,0.0455662
1.57713,1.67227,0.0453887
1.13331,1.67017,0.04526
1.75603,1.6705,0.0450848
1.75603,1.67083,0.044911
1.58462,1.6705,0.0447385
0.640492,1.66654,0.0447418
0.640492,1.66261,0.0447431
0.640492,1.65871,0.0447424
0.640492,1.65484,0.0447398
0.640492,1.65099,0.0447353
1.50374,1.65044,0.0445696
2.25456,1.65271,0.0444598
2.50714,1.65591,0.0444084
2.78898,1.66014,0.0444439
1.50229,1.65955,0.0442823
0.161662,1.654,0.0444654
0.401582,1.64938,0.0445414
0.401582,1.64479,0.0446139
0.401582,1.64024,0.0446828
0.401582,1.63572,0.0447484
0.401582,1.63123,0.0448106
0.401582,1.62678,0.0448697
0.401582,1.62235,0.0449257
0.401582,1.61796,0.0449787
0.401582,1.6136,0.0450287
0.401582,1.60927,0.045076
0.401582,1.60498,0.0451204
0.401582,1.60071,0.0451622
0.401582,1.59647,0.0452014
0.401582,1.59226,0.045238
0.401582,1.58809,0.0452722
0.401582,1.58394,0.045304
0.401582,1.57982,0.0453334
0.90632,1.57748,0.0452362
1.51212,1.57725,0.04508
1.51212,1.57703,0.0449248
1.60403,1.57712,0.0447703
1.60403,1.57721,0.0446168
1.40699,1.57663,0.044468
1.40699,1.57606,0.0443203
1.40699,1.57548,0.0441735
1.40699,1.57491,0.0440277
1.40699,1.57435,0.0438828
1.40699,1.57379,0.0437389
1.40699,1.57323,0.043596
2.5316,1.57642,0.0435677
1.4291,1.57593,0.0434255
1.4291,1.57545,0.0432842
0.868659,1.57311,0.0432041
1.01404,1.57128,0.043101
1.01404,1.56945,0.0429983
0.751535,1.56678,0.0429408
0.751535,1.56412,0.042883
0.751535,1.56148,0.0428249
1.97739,1.56283,0.0427073
1.47097,1.56253,0.0425703
1.47097,1.56224,0.0424343
2.26402,1.56449,0.0423578
2.26402,1.56672,0.0422814
1.87313,1.5677,0.0421578
2.10136,1.56939,0.0420579
2.10136,1.57107,0.0419584
2.14012,1.57287,0.0418643
1.94023,1.57402,0.0417484
1.94023,1.57517,0.0416332
1.84914,1.57603,0.0415117
1.84914,1.57688,0.0413909
0.774065,1.57439,0.0413374
0.774065,1.57191,0.0412837
1.05521,1.57031,0.0411869
1.05521,1.56873,0.0410906
1.36588,1.56811,0.0409691
1.0804,1.56662,0.0408708
1.0804,1.56513,0.040773
1.0804,1.56366,0.0406756
1.0804,1.5622,0.0405785
1.0804,1.56074,0.0404819
1.51674,1.56061,0.04036
1.23014,1.55961,0.0402509
1.23014,1.55863,0.0401423
1.23014,1.55765,0.0400343
1.13061,1.55638,0.0399352
1.07449,1.55495,0.0398422
1.07449,1.55353,0.0397496
1.38455,1.55303,0.0396353
0.892806,1.55108,0.0395662
1.72256,1.55159,0.0394532
1.72256,1.55209,0.0393409
1.72256,1.55258,0.0392292
1.72256,1.55308,0.0391181
1.02737,1.55156,0.0390343
1.35697,1.55099,0.0389254
1.35697,1.55043,0.0388171
1.35697,1.54988,0.0387093
1.35697,1.54932,0.0386022
1.44385,1.54902,0.038493
1.35974,1.54848,0.0383869
1.12363,1.54728,0.0382967
1.12363,1.54608,0.0382069
1.23694,1.5452,0.0381089
1.23694,1.54434,0.0380113
1.23694,1.54347,0.0379142
1.23694,1.54261,0.0378176
1.93679,1.54371,0.0377279
1.93679,1.54481,0.0376386
1.74839,1.54537,0.0375381
1.76799,1.54599,0.0374391
1.76799,1.5466,0.0373406
2.56726,1.54942,0.0373436
2.56726,1.55221,0.0373457
2.56726,1.55499,0.0373469
2.0912,1.55646,0.0372735
2.0912,1.55792,0.0372003
2.0912,1.55936,0.0371274
2.0912,1.56081,0.0370547
2.89661,1.56442,0.0371304
2.89661,1.56801,0.0372038
2.26288,1.56988,0.0371507
2.10964,1.57132,0.0370792
2.26455,1.57318,0.0370263
2.26455,1.57502,0.0369735
2.26455,1.57685,0.0369206
2.58572,1.57953,0.0369196
2.58572,1.58219,0.0369179
2.58572,1.58484,0.0369154
3.55951,1.59004,0.0371831
4.24322,1.597,0.0377335
4.29507,1.60406,0.0382916
3.53677,1.60911,0.0385235
3.53677,1.61413,0.0387495
4.2252,1.62091,0.0392393
4.2252,1.62766,0.0397148
4.08143,1.634,0.0401163
4.08143,1.64031,0.0405069
3.37756,1.64477,0.0406487
3.37756,1.64921,0.0407871
3.37756,1.65364,0.0409221
3.35942,1.65799,0.0410488
2.88934,1.66112,0.0410639
3.36581,1.66545,0.0411875
2.80358,1.66833,0.041184
2.80358,1.67119,0.0411798
2.11061,1.6723,0.0410908
2.11544,1.67341,0.0410026
2.11544,1.67452,0.0409147
1.15957,1.67324,0.0408326
1.12076,1.67186,0.0407539
1.12076,1.67049,0.0406755
1.46571,1.66998,0.0405776
1.39281,1.66929,0.0404829
1.39281,1.66861,0.0403886
2.39133,1.67039,0.0403283
2.16558,1.67161,0.0402475
2.17988,1.67285,0.040168
1.87849,1.67336,0.0400728
1.2177,1.67224,0.0399904
1.2177,1.67114,0.0399083
0.984905,1.66947,0.0398462
0.984905,1.66781,0.0397841
1.69012,1.66787,0.0396879
2.58575,1.67008,0.0396539
2.72977,1.67263,0.0396404
2.08567,1.67362,0.0395576
1.86295,1.67407,0.0394655
1.86295,1.67452,0.0393738
1.86295,1.67497,0.0392825
1.86295,1.67542,0.0391916
1.5803,1.67519,0.0390993
1.7955,1.67548,0.0390078
1.78576,1.67574,0.0389165
1.78576,1.676,0.0388257
1.78576,1.67625,0.0387353
1.78576,1.67651,0.0386454
1.76873,1.67672,0.0385556
1.76873,1.67694,0.0384662
1.12777,1.67566,0.0383979
1.22344,1.67461,0.038323
0.390334,1.67164,0.0383496
0.815711,1.66966,0.038312
0.815711,1.6677,0.0382742
0.727213,1.66553,0.0382473
0.727213,1.66338,0.0382201
0.727213,1.66124,0.0381927
0.939413,1.65959,0.038141
1.61293,1.65948,0.0380542
2.66717,1.66177,0.0380366
2.66717,1.66405,0.0380186
2.66717,1.66632,0.0380004
2.66717,1.66858,0.0379817
2.04432,1.66943,0.0379055
1.99269,1.67016,0.0378272
1.99269,1.67088,0.0377493
1.99269,1.6716,0.0376716
1.99269,1.67232,0.0375943
1.57337,1.6721,0.0375111
0.807564,1.67017,0.0374769
1.22015,1.66918,0.037407
2.04163,1.67,0.0373333
1.41004,1.66943,0.0372552
1.56222,1.66919,0.0371738
1.56222,1.66896,0.0370927
1.55774,1.66871,0.0370121
0.77406,1.66675,0.0369829
0.77406,1.6648,0.0369535
0.77406,1.66286,0.0369239
0.713661,1.6608,0.0369013
0.713661,1.65875,0.0368784
0.713661,1.6567,0.0368553
0.849592,1.65496,0.0368169
1.22326,1.65403,0.0367493
0.80282,1.6522,0.0367158
0.80282,1.65037,0.0366823
0.80282,1.64856,0.0366486
1.03282,1.64724,0.0365939
1.12908,1.64614,0.0365325
0.763834,1.64426,0.036503
0.786579,1.64244,0.0364709
0.786579,1.64063,0.0364387
0.245836,1.63768,0.0364809
0.245836,1.63474,0.0365221
0.245836,1.63182,0.0365623
0.245836,1.62891,0.0366014
1.6144,1.62888,0.0365246
2.7962,1.63132,0.0365298
2.7962,1.63375,0.0365345
2.7962,1.63617,0.0365386
3.70102,1.64046,0.0367144
2.90993,1.6431,0.0367327
2.90993,1.64572,0.0367503
3.53086,1.64962,0.0368805
3.17361,1.65276,0.0369383
2.94447,1.65542,0.0369579
3.1807,1.65855,0.0370147
3.1807,1.66167,0.0370702
3.81333,1.66607,0.0372551
3.68886,1.6702,0.0374075
3.50692,1.67394,0.0375182
3.91071,1.67848,0.0377168
5.24063,1.68571,0.0383275
5.07887,1.69258,0.0388617
4.26148,1.69777,0.0391287
3.87073,1.70215,0.0392948
3.87073,1.70651,0.0394576
3.92592,1.71097,0.0396297
4.29206,1.71614,0.039887
3.04184,1.71879,0.0398954
3.13662,1.72162,0.0399161
3.01039,1.72419,0.0399191
2.68834,1.72611,0.0398858
1.36486,1.72539,0.039813
0.662925,1.72328,0.0397898
0.662925,1.72119,0.0397663
0.662925,1.7191,0.0397426
0.662925,1.71702,0.0397188
0.662925,1.71495,0.0396947
1.32436,1.71419,0.0396242
2.64463,1.71601,0.0395885
2.64463,1.71782,0.0395527
2.64463,1.71963,0.0395168
3.17591,1.72246,0.0395415
2.57858,1.72412,0.0394997
2.36735,1.72537,0.0394427
1.76968,1.72545,0.0393665
1.76968,1.72554,0.0392905
1.76968,1.72563,0.0392148
1.76968,1.72571,0.0391394
2.3311,1.72687,0.0390815
2.3311,1.72803,0.0390237
2.87212,1.73022,0.0390104
2.98384,1.73261,0.0390093
2.98384,1.73499,0.0390078
2.98384,1.73737,0.0390059
2.52745,1.73887,0.0389607
2.52745,1.74036,0.0389155
2.52745,1.74185,0.0388704
2.84895,1.74394,0.0388532
3.05521,1.74641,0.0388585
3.53625,1.74977,0.038931
3.53625,1.75312,0.0390022
2.87851,1.75523,0.0389861
2.0178,1.75572,0.0389162
2.0178,1.75621,0.0388466
2.91494,1.75837,0.0388342
2.91494,1.76052,0.0388215
2.16502,1.76127,0.0387567
2.27207,1.76221,0.0386964
2.27207,1.76316,0.0386363
2.53799,1.76459,0.0385915
1.79597,1.76464,0.0385204
0.752235,1.76278,0.0384945
0.721116,1.76087,0.0384713
0.721116,1.75897,0.038448
1.29029,1.75811,0.0383872
1.29029,1.75726,0.0383266
1.29029,1.75641,0.0382662
1.29029,1.75556,0.0382059
1.29029,1.75471,0.0381459
1.29029,1.75387,0.038086
1.83813,1.75402,0.0380174
2.00665,1.75448,0.0379514
1.55196,1.75412,0.0378847
1.55196,1.75375,0.0378183
1.55196,1.75339,0.0377521
1.55196,1.75303,0.0376861
1.65416,1.75285,0.037619
1.07204,1.75164,0.0375715
1.07204,1.75042,0.037524
0.542837,1.74828,0.0375187
0.689689,1.7464,0.0374992
0.689689,1.74452,0.0374795
0.689689,1.74266,0.0374597
1.11073,1.74154,0.0374101
1.11073,1.74043,0.0373606
1.11073,1.73932,0.0373113
1.11073,1.73821,0.037262
1.11073,1.73711,0.0372129
1.11073,1.73601,0.0371638
0.986607,1.7347,0.0371219
1.2843,1.73392,0.0370654
1.46543,1.73345,0.0370038
1.54917,1.73313,0.0369407
1.39298,1.73254,0.0368813
1.39298,1.73195,0.036822
1.39298,1.73136,0.0367629
0.720701,1.72962,0.0367409
1.02583,1.72841,0.0366975
1.02583,1.7272,0.0366543
0.477413,1.72505,0.0366542
0.477413,1.72291,0.0366538
0.477413,1.72078,0.0366531
0.477413,1.71865,0.036652
0.477413,1.71653,0.0366507
0.477413,1.71442,0.0366491
0.477413,1.71232,0.0366471
0.5863,1.71041,0.0366348
0.5863,1.7085,0.0366222
0.5863,1.7066,0.0366095
0.5863,1.70471,0.0365965
0.5863,1.70282,0.0365834
0.5863,1.70094,0.0365701
0.5863,1.69907,0.0365566
0.5863,1.6972,0.036543
0.5863,1.69534,0.0365291
0.5863,1.69349,0.0365151
0.913648,1.69219,0.0364773
0.913648,1.69089,0.0364396
0.740684,1.68931,0.0364133
0.740684,1.68773,0.0363869
1.24008,1.68699,0.0363341
1.24008,1.68625,0.0362814
1.73674,1.68633,0.0362215
1.73674,1.68642,0.0361618
