H,err
-0.000149804,0
-0.000111806,3.79981e-05
-0.000149601,4.37013e-05
-0.000162767,3.35891e-05
-0.000173239,2.80465e-05
-0.000152947,3.0597e-05
-0.000136494,3.06495e-05
-0.000141787,2.70658e-05
-0.000151396,2.57313e-05
-0.000155272,2.33389e-05
-0.00016694,2.41209e-05
-0.000185311,2.8676e-05
-0.000184306,2.63972e-05
-0.000189233,2.49306e-05
-0.000199506,2.53813e-05
-0.000197715,2.38095e-05
-0.000192156,2.30456e-05
-0.000195653,2.20072e-05
-0.000192558,2.10455e-05
-0.000196034,2.02659e-05
-0.000196862,1.92945e-05
-0.000197825,1.84217e-05
-0.000203278,1.84279e-05
-0.000204521,1.76871e-05
-0.000204958,1.69705e-05
-0.000208133,1.6611e-05
-0.000211823,1.64043e-05
-0.000209649,1.59563e-05
-0.000208158,1.54684e-05
-0.000204595,1.53626e-05
-0.000213937,1.75513e-05
-0.000215842,1.71004e-05
-0.000213745,1.67063e-05
-0.000219162,1.70888e-05
-0.000217116,1.6719e-05
-0.000213179,1.67182e-05
-0.000217412,1.6802e-05
-0.000224308,1.77486e-05
-0.000223868,1.72931e-05
-0.000226999,1.71436e-05
-0.000225672,1.67729e-05
-0.000227252,1.64448e-05
-0.000225521,1.61509e-05
-0.000225025,1.57873e-05
-0.000227159,1.55794e-05
-0.000230807,1.56674e-05
-0.000227234,1.57412e-05
-0.000232274,1.62129e-05
-0.000237465,1.67057e-05
-0.00023651,1.6396e-05
-0.000238967,1.6258e-05
-0.000237198,1.60402e-05
-0.000236556,1.57477e-05
-0.000236531,1.54533e-05
-0.000241295,1.59002e-05
-0.00024598,1.63013e-05
-0.00023842,1.77077e-05
-0.000238454,1.73997e-05
-0.000238664,1.71036e-05
-0.000235873,1.70461e-05
-0.000241409,1.76547e-05
-0.000242884,1.74301e-05
-0.000239914,1.74066e-05
-0.000240037,1.71329e-05
-0.000238552,1.69324e-05
-0.000239182,1.66858e-05
-0.000237451,1.65258e-05
-0.000238461,1.63123e-05
-0.000237305,1.61157e-05
-0.000239791,1.60771e-05
-0.0002417,1.59636e-05
-0.000241164,1.57494e-05
-0.000240074,1.55704e-05
-0.00024032,1.53605e-05
-0.00023938,1.51835e-05
-0.000238569,1.50043e-05
-0.000238827,1.48104e-05
-0.000239288,1.46265e-05
-0.000238712,1.44517e-05
-0.000238829,1.42704e-05
-0.000236108,1.43534e-05
-0.000236782,1.41933e-05
-0.000238374,1.41113e-05
-0.00023715,1.39959e-05
-0.000238437,1.38901e-05
-0.000238957,1.37375e-05
-0.00023854,1.35851e-05
-0.000237177,1.34987e-05
-0.000238704,1.34333e-05
-0.000240844,1.34544e-05
-0.000239821,1.3345e-05
-0.000239371,1.32068e-05
-0.000238378,1.31017e-05
-0.000240242,1.30949e-05
-0.000239776,1.29647e-05
-0.000238936,1.28565e-05
-0.000239922,1.27614e-05
-0.000239381,1.2642e-05
-0.000238973,1.25203e-05
-0.000239473,1.24046e-05
