H,err
-0.441022,0
-0.4417,0.000677893
-0.442064,0.000534551
-0.442682,0.000724597
-0.443047,0.00066981
-0.443284,0.000595951
-0.443417,0.000520955
-0.442663,0.000878503
-0.442855,0.000798072
-0.442904,0.00071553
-0.442844,0.000650002
-0.442705,0.000609469
-0.442646,0.000563718
-0.442547,0.000531226
-0.442632,0.000501769
-0.4426,0.000470447
-0.442689,0.000450797
-0.442373,0.000529884
-0.442305,0.000505734
-0.442462,0.000504804
-0.442382,0.000486878
-0.442309,0.000469838
-0.442264,0.000451201
-0.442332,0.000437348
-0.442365,0.000420788
-0.442323,0.000406536
-0.442377,0.000394905
-0.442461,0.000389867
-0.442472,0.000376321
-0.442544,0.000370771
-0.442571,0.000359627
-0.442446,0.000370031
-0.44251,0.000364261
-0.442475,0.00035515
-0.442494,0.000345402
-0.442441,0.000339831
-0.442393,0.000333935
-0.442416,0.000325818
-0.442421,0.000317385
-0.442482,0.000315363
-0.442459,0.000308444
-0.442415,0.000304179
-0.442544,0.000323671
-0.442436,0.000333955
-0.4424,0.000328462
-0.442518,0.000342123
-0.442497,0.000335385
-0.442473,0.000329238
-0.442506,0.000324131
-0.442488,0.000318085
-0.442536,0.000315564
-0.442561,0.000310417
-0.442636,0.000313685
-0.442701,0.000314549
-0.442736,0.000310728
-0.442705,0.000306731
-0.442697,0.000301405
-0.442617,0.000306767
-0.442611,0.000301571
-0.442586,0.000297566
-0.442558,0.000294011
-0.442555,0.000289241
-0.442571,0.000285033
-0.442578,0.000280645
-0.442562,0.00027677
-0.442575,0.000272844
-0.442573,0.000268746
-0.442589,0.000265248
-0.442596,0.000261458
-0.442575,0.000258556
-0.442584,0.00025506
-0.442606,0.000252418
-0.442618,0.000249232
-0.442631,0.000246178
-0.442622,0.000243028
-0.442611,0.000240067
-0.442602,0.000237086
-0.442586,0.000234601
-0.442565,0.000232515
-0.442584,0.000230348
-0.442548,0.000230402
-0.442534,0.00022799
-0.442548,0.000225678
-0.4426,0.000228926
-0.442647,0.000230975
-0.442708,0.00023636
-0.442656,0.000239276
-0.44267,0.000236919
-0.442678,0.000234387
-0.442679,0.00023177
-0.442685,0.000229302
-0.442678,0.000226906
-0.4427,0.000225481
-0.442675,0.000224434
-0.442679,0.000222104
-0.442649,0.000221873
-0.442664,0.000220114
-0.442647,0.000218524
-0.442667,0.000217202
-0.442621,0.000219877
