I,err
0.0887026,0
0.0886854,1.72649e-05
0.0888695,0.000184449
0.0888002,0.000147686
0.0885867,0.000242262
0.0884643,0.000232594
0.0884328,0.000199093
0.0882941,0.000221294
0.0883415,0.000200852
0.088348,0.000179765
0.0883398,0.000162813
0.0883268,0.000149196
0.0883588,0.000140926
0.0883607,0.000130485
0.0883779,0.000122694
0.0883475,0.000118738
0.0883166,0.000115728
0.0882404,0.000133055
0.0882313,0.00012619
0.088171,0.000134028
0.0881688,0.000127505
0.0881189,0.000131435
0.0881475,0.000128815
0.0881373,0.000123749
0.0881728,0.000123881
0.0881834,0.000119488
0.0882003,0.000116213
0.0881926,0.000112245
0.0882035,0.000108852
0.0882071,0.000105223
0.0882177,0.000102315
0.0882404,0.000101649
0.0882554,9.96516e-05
0.0882692,9.76535e-05
0.0882918,9.748e-05
0.0882652,9.83964e-05
0.0882598,9.58527e-05
0.0882341,9.67685e-05
0.0882581,9.72505e-05
0.0882461,9.55393e-05
0.0882301,9.45492e-05
0.0882013,9.6663e-05
0.0881576,0.000103995
0.0881605,0.000101647
0.0881622,9.93754e-05
0.0881764,9.82238e-05
0.0881729,9.61737e-05
0.0881679,9.42788e-05
0.0881695,9.23477e-05
0.0881796,9.10418e-05
0.0881629,9.07907e-05
0.0881665,8.91017e-05
0.088163,8.74725e-05
0.088167,8.59265e-05
0.0881599,8.46425e-05
0.088148,8.39628e-05
0.088152,8.2572e-05
0.0881445,8.14864e-05
0.0881436,8.00981e-05
0.0881557,7.96827e-05
0.0881742,8.05168e-05
0.0881675,7.94887e-05
0.0881604,7.85436e-05
0.0881507,7.79092e-05
0.0881525,7.67226e-05
0.0881549,7.55897e-05
0.0881692,7.58135e-05
0.0881585,7.54556e-05
0.0881674,7.48831e-05
0.0881552,7.4813e-05
0.0881548,7.37526e-05
0.0881554,7.27231e-05
0.0881487,7.20281e-05
0.0881578,7.1624e-05
0.0881603,7.07086e-05
0.0881562,6.98961e-05
0.0881543,6.90072e-05
0.0881517,6.81671e-05
0.0881552,6.7393e-05
0.0881533,6.65731e-05
0.0881565,6.58236e-05
0.0881457,6.59169e-05
0.088131,6.67466e-05
0.0881258,6.61551e-05
0.088127,6.53837e-05
0.08813,6.46913e-05
0.0881203,6.46861e-05
0.0881195,6.39517e-05
0.0881235,6.33538e-05
0.088131,6.30935e-05
0.0881285,6.2443e-05
0.0881048,6.61712e-05
0.0881025,6.54962e-05
0.088105,6.4845e-05
0.0881086,6.42596e-05
0.0881094,6.35918e-05
0.0880962,6.42976e-05
0.0880969,6.36419e-05
0.0880937,6.30812e-05
0.0880925,6.24579e-05
