beta,mu,err_mu,sigma,err_sigma,H,err_H
1,0.421422,0.210711,0.57694,0.28847,-0.00168852,0.000844258
2.5,0.346172,0.135798,0.714166,0.228854,-0.106904,0.033937
4,0.472504,0.103229,0.8816,0.183845,-0.294891,0.0573726
5.5,0.45505,0.093756,0.826569,0.168192,-0.278396,0.0566675
7,0.575761,0.0860476,0.783838,0.141972,-0.330251,0.0529337
8.5,0.474464,0.0803776,0.79622,0.132997,-0.256171,0.0488365
10,0.544484,0.073665,0.813244,0.119447,-0.311026,0.0447793
11.5,0.588734,0.0725621,0.777215,0.113516,-0.327782,0.0438011
13,0.623529,0.0690774,0.820384,0.104828,-0.327566,0.0409613
14.5,0.658916,0.0689599,0.772879,0.100676,-0.370204,0.0408068
16,0.678502,0.066556,0.721918,0.0934171,-0.360555,0.0389113
17.5,0.637729,0.0655085,0.722924,0.0900148,-0.360433,0.0382907
19,0.639392,0.0627013,0.753961,0.0848809,-0.363225,0.0366523
20.5,0.686495,0.0622357,0.749199,0.082475,-0.378429,0.0362371
22,0.662569,0.0599827,0.709255,0.0781897,-0.366891,0.0348293
23.5,0.697982,0.0595198,0.713103,0.0761033,-0.368542,0.0343021
25,0.69068,0.0577238,0.678824,0.0725344,-0.386036,0.0332363
26.5,0.673298,0.0570101,0.711222,0.0708481,-0.379723,0.0328198
28,0.691904,0.0554003,0.725471,0.0680882,-0.384462,0.0318468
29.5,0.690877,0.0548294,0.725999,0.0667438,-0.380431,0.0314546
31,0.672246,0.0532647,0.719018,0.0643886,-0.373198,0.0305191
32.5,0.659684,0.0525701,0.713479,0.0632067,-0.379103,0.030151
34,0.676053,0.0511987,0.713751,0.0611708,-0.385531,0.0293781
35.5,0.702063,0.0507538,0.706764,0.0601355,-0.389578,0.0290855
37,0.705592,0.0496342,0.720333,0.0583854,-0.389806,0.0284025
38.5,0.698842,0.049192,0.709664,0.0574905,-0.382575,0.0280986
40,0.71694,0.0482061,0.694078,0.0558882,-0.396272,0.0275021
41.5,0.726665,0.0478848,0.672209,0.055022,-0.416856,0.0273473
43,0.713761,0.0469547,0.669054,0.053556,-0.404623,0.0268207
44.5,0.705463,0.0465707,0.682931,0.0528101,-0.39723,0.0265954
46,0.715975,0.0457161,0.675512,0.0515129,-0.408199,0.0261177
47.5,0.714759,0.0453782,0.676615,0.0508365,-0.40658,0.0259307
49,0.708495,0.0445631,0.665269,0.0496543,-0.40358,0.0254708
50.5,0.711513,0.0442339,0.653281,0.0490125,-0.408877,0.0252976
52,0.725434,0.0435177,0.643112,0.0479144,-0.409702,0.0248837
53.5,0.734557,0.0432594,0.661671,0.0473462,-0.417204,0.0247379
55,0.730284,0.0425971,0.649723,0.0463557,-0.410786,0.0243509
56.5,0.712761,0.0422996,0.635927,0.045809,-0.410656,0.0241941
58,0.706043,0.0416287,0.63222,0.0448853,-0.402829,0.0238135
59.5,0.714394,0.0413508,0.639008,0.0443898,-0.411,0.0236646
61,0.72312,0.0407544,0.652158,0.0435631,-0.40984,0.0233208
62.5,0.728286,0.0405155,0.644044,0.0431134,-0.414775,0.0231856
64,0.729857,0.0399649,0.634176,0.0423334,-0.41637,0.022873
65.5,0.741369,0.0397586,0.622753,0.0419,-0.430992,0.0227728
67,0.735766,0.0392466,0.622222,0.0411684,-0.422539,0.0224861
68.5,0.738934,0.0390431,0.628793,0.040773,-0.423362,0.0223739
70,0.737138,0.0385591,0.61579,0.040089,-0.429574,0.0221124
71.5,0.743546,0.0383698,0.628742,0.0397225,-0.426201,0.0220076
73,0.737452,0.0379097,0.619286,0.0390882,-0.425575,0.0217512
74.5,0.746399,0.0377309,0.619203,0.0387402,-0.436266,0.0216646
76,0.743579,0.0373009,0.619396,0.038148,-0.435659,0.0214338
77.5,0.744275,0.037125,0.618757,0.0378231,-0.440143,0.0213539
79,0.751763,0.0367251,0.62969,0.0372759,-0.438049,0.021135
80.5,0.741518,0.0365514,0.626659,0.0369773,-0.426543,0.0210375
82,0.750596,0.0361674,0.633849,0.0364665,-0.4296,0.0208162
83.5,0.741656,0.0359998,0.642107,0.0361971,-0.43108,0.0207273
85,0.745533,0.0356263,0.649521,0.0357272,-0.434267,0.0205208
86.5,0.754887,0.0354794,0.660577,0.0354872,-0.429661,0.0204326
88,0.763698,0.0351414,0.651683,0.0350448,-0.432992,0.0202326
89.5,0.77353,0.035019,0.661078,0.0348187,-0.441437,0.0201603
91,0.767595,0.0346973,0.65529,0.0344023,-0.429714,0.0199642
92.5,0.75747,0.0345601,0.664266,0.0341906,-0.422503,0.0198737
94,0.767731,0.0342503,0.661756,0.0337999,-0.434954,0.0196909
95.5,0.767089,0.0341262,0.655248,0.0335931,-0.429212,0.0196098
97,0.761228,0.033821,0.65542,0.0332178,-0.43036,0.0194294
98.5,0.76839,0.0337012,0.65674,0.0330225,-0.431827,0.0193532
100,0.768737,0.0334137,0.662548,0.0326697,-0.430287,0.0191795
101.5,0.775097,0.0333027,0.661815,0.032487,-0.432188,0.0191059
103,0.76975,0.0330256,0.653063,0.032145,-0.426584,0.0189354
104.5,0.762409,0.0329062,0.661546,0.0319707,-0.429999,0.0188623
106,0.756019,0.0326273,0.666716,0.0316521,-0.426895,0.0186984
107.5,0.762766,0.0325115,0.669798,0.0314906,-0.424905,0.0186235
109,0.769218,0.0322525,0.671153,0.0311884,-0.430504,0.0184684
110.5,0.777157,0.032151,0.672428,0.0310354,-0.429422,0.0183993
112,0.770713,0.0319013,0.676291,0.0307487,-0.431227,0.0182501
113.5,0.776961,0.0318019,0.677868,0.0306052,-0.433492,0.0181861
115,0.77484,0.0315629,0.679473,0.0303319,-0.430677,0.0180415
116.5,0.770857,0.0314613,0.685687,0.0301985,-0.422619,0.0179718
118,0.765625,0.0312233,0.684985,0.0299388,-0.419569,0.0178249
119.5,0.769019,0.0311229,0.692359,0.0298142,-0.426557,0.0177601
121,0.767314,0.0308934,0.694938,0.0295696,-0.426938,0.0176228
122.5,0.770494,0.0307965,0.688475,0.0294475,-0.427775,0.0175607
124,0.774615,0.0305787,0.689305,0.0292088,-0.42881,0.0174291
125.5,0.769609,0.0304835,0.686181,0.0290898,-0.424758,0.0173671
127,0.776484,0.0302732,0.682641,0.0288563,-0.428666,0.0172396
128.5,0.783313,0.0301887,0.686411,0.0287418,-0.42902,0.0171819
130,0.788733,0.0299918,0.690409,0.0285202,-0.424395,0.017056
131.5,0.794659,0.0299158,0.696753,0.0284146,-0.427539,0.0169991
