L2,generation
58.9867,0
56.5744,1
51.0709,2
47.5711,3
43.308,4
39.1032,5
36.1013,6
35.7219,7
31.3233,8
30.8235,9
29.761,10
28.3505,11
26.7695,12
26.5619,13
25.6375,14
24.7979,15
23.2046,16
21.6066,17
20.2695,18
16.5046,19
15.7181,20
15.7181,21
15.314,22
14.7403,23
13.8807,24
11.8407,25
10.8653,26
10.8653,27
10.8653,28
10.8653,29
10.8653,30
10.8653,31
10.8653,32
10.5613,33
10.3356,34
9.9588,35
9.8364,36
9.8364,37
9.8364,38
9.8364,39
9.8364,40
9.8364,41
10.0006,42
10.0006,43
10.0006,44
10.4522,45
10.4079,46
9.1229,47
9.3783,48
8.30816,49
8.23852,50
8.23852,51
8.2384,52
8.2384,53
8.23852,54
8.23852,55
8.23852,56
8.23852,57
8.23852,58
8.22199,59
7.54048,60
7.53371,61
7.50962,62
7.50962,63
7.50962,64
7.50962,65
7.50962,66
7.50962,67
7.50962,68
7.50962,69
7.50962,70
7.50962,71
7.50962,72
7.50962,73
7.50962,74
7.50962,75
7.50962,76
7.50962,77
7.50962,78
7.50962,79
7.50962,80
7.50962,81
7.50962,82
7.95132,83
7.50283,84
7.50283,85
7.50283,86
7.50283,87
7.73044,88
8.04866,89
7.9196,90
7.49164,91
7.49164,92
7.49164,93
7.49164,94
7.49164,95
7.49164,96
7.49164,97
7.49164,98
7.49164,99
7.9196,100
7.9076,101
7.49843,102
7.49843,103
7.49843,104
7.49843,105
7.49843,106
7.49843,107
7.49843,108
7.50324,109
7.49152,110
7.48671,111
7.48671,112
7.49645,113
7.48473,114
7.48473,115
7.48473,116
7.48473,117
7.49152,118
7.49645,119
7.47305,120
7.47305,121
7.46626,122
7.49164,123
7.48671,124
7.46626,125
7.46626,126
7.46626,127
7.46145,128
7.46145,129
7.46145,130
7.46145,131
7.46145,132
7.46145,133
7.46145,134
7.46145,135
7.46145,136
7.46145,137
7.46145,138
7.46145,139
7.46145,140
7.46145,141
7.46145,142
7.46824,143
7.46824,144
7.46824,145
7.46824,146
7.46824,147
7.46824,148
7.46824,149
7.47331,150
7.46824,151
7.47305,152
7.28723,153
7.28723,154
7.28723,155
7.46824,156
7.46145,157
7.46145,158
7.46145,159
7.46145,160
7.46145,161
7.46145,162
7.46145,163
7.46145,164
7.46145,165
7.46145,166
7.46145,167
7.46145,168
7.46145,169
7.46145,170
7.46626,171
7.46145,172
7.46145,173
7.46145,174
7.46145,175
7.46145,176
7.46145,177
7.46145,178
7.46145,179
7.46145,180
7.46145,181
7.46145,182
7.46145,183
7.46145,184
7.46145,185
7.46626,186
