L2,generation
9.07801,0
8.32053,1
7.74872,2
7.22932,3
7.03897,4
6.77258,5
6.40633,6
5.87018,7
4.95815,8
4.9727,9
4.90119,10
4.4826,11
4.36568,12
4.16913,13
4.16913,14
4.16913,15
4.16913,16
4.36738,17
4.13084,18
4.13084,19
4.0218,20
3.78245,21
3.60145,22
3.63278,23
3.63278,24
3.61605,25
3.55608,26
3.33733,27
3.24894,28
3.24894,29
3.24894,30
3.23827,31
3.23827,32
3.215,33
3.215,34
3.215,35
3.215,36
3.25285,37
3.24894,38
3.24894,39
3.24894,40
3.24195,41
3.16452,42
3.16452,43
3.16452,44
3.16452,45
3.16452,46
3.16452,47
3.16452,48
3.29431,49
3.0704,50
3.0704,51
3.0704,52
3.0704,53
3.0704,54
3.0704,55
3.0704,56
2.95975,57
2.95975,58
3.09169,59
3.09169,60
3.09169,61
2.56265,62
2.56265,63
2.56265,64
2.56265,65
2.56265,66
2.56265,67
2.56265,68
2.56265,69
2.55918,70
2.55918,71
2.60692,72
2.60692,73
2.54182,74
2.60533,75
2.58798,76
2.54023,77
2.54023,78
2.54023,79
2.54023,80
2.52954,81
2.52954,82
2.52954,83
2.54023,84
2.54023,85
2.54023,86
2.54023,87
2.50109,88
2.50109,89
2.50109,90
2.50109,91
2.50109,92
2.50109,93
2.50109,94
2.50109,95
2.50109,96
2.50109,97
2.50109,98
2.50109,99
2.50109,100
2.50109,101
2.50109,102
2.50109,103
2.50109,104
2.50109,105
2.50109,106
2.50109,107
2.50109,108
2.51176,109
2.34546,110
2.34546,111
2.34546,112
2.34546,113
2.34546,114
2.34546,115
2.34546,116
2.34546,117
2.44977,118
2.29663,119
2.3703,120
2.3703,121
2.4505,122
2.40881,123
2.40881,124
2.40881,125
2.40881,126
2.40881,127
2.40881,128
2.40881,129
2.40881,130
2.5204,131
2.5204,132
2.5204,133
2.4804,134
2.4804,135
2.4804,136
2.4804,137
2.4804,138
2.4804,139
2.4804,140
2.4804,141
2.48344,142
2.48344,143
2.4911,144
2.5204,145
2.48344,146
2.48344,147
2.4804,148
2.4804,149
2.4804,150
2.4804,151
2.4804,152
2.4804,153
2.4804,154
2.4804,155
2.4804,156
2.4804,157
2.48675,158
2.44675,159
2.4804,160
2.44675,161
2.4804,162
2.4804,163
2.4804,164
2.4804,165
2.4804,166
2.4804,167
2.4804,168
2.4804,169
2.4804,170
2.4804,171
2.4804,172
2.4804,173
2.4804,174
2.4804,175
